"accuratePass" "lostCorners" "goalsConceded" "saves" "penaltyFaced" "goalKicks" "totalPass" "gameStarted" "totalTackle" "penGoalsConceded" "minsPlayed" "totalClearance" "formationPlace" "fecha" "idequipo" "equipo" "idjugador" "position" "blockedScoringAtt" "totalScoringAtt" "totalThrows" "totalSubOff" "shotOffTarget" "wonCorners" "cornerTaken" "penaltyConceded" "yellowCard" "ontargetScoringAtt" "fouls" "wonTackle" "wasFouled" "goals" "totalSubOn" "stats[2, ]" "totalOffside" "local" "id_partido" "penaltyWon" "goalAssist" "cleanSheet" "ownGoals" "penaltySave" "secondYellow" "redCard"
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-08Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "5luxmpmw3guwbd436k7ao2go9" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-08Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "djg91s3zqp65v59qflu7cnhl" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-08Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "834g52ukee26u85e0ijh193vt" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
"1" NA NA NA NA NA "2" NA NA NA "15" NA "0" "2018-08-08Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "9xrn6r8qeh6yvw594iuhq03qh" "Substitute" NA NA NA NA NA "2" NA NA NA NA "1" NA NA NA "1" NA NA TRUE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-08Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "627mdzj69i7jud5ui74n1r5d5" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-08Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "39a6k4wab8q234zz5fkl4ow6h" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
"15" NA "1" "5" NA "8" "32" "1" NA NA "90" "1" "1" "2018-08-08Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "6vqain7mmp94wueprv9aj5xp1" "Goalkeeper" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
"18" "4" "1" NA NA NA "30" "1" "4" NA "90" "4" "3" "2018-08-08Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "b3i5okqaspq6w7w456ab4cxjp" "Defender" NA NA "9" NA NA NA NA NA NA NA "1" "3" "3" NA NA NA NA FALSE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
"35" "3" "1" NA NA NA "38" "1" NA NA "90" "9" "6" "2018-08-08Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "e6s5iphbrws04dxrvw0xqd7f9" "Defender" NA NA NA NA NA NA NA NA "1" NA "2" NA NA NA NA NA NA FALSE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
"30" "1" "1" NA NA NA "34" "1" NA NA "90" "11" "5" "2018-08-08Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "230r9tcwg89z5b9kxdqwi336d" "Defender" NA NA NA NA NA NA "1" NA NA NA NA NA NA NA NA NA NA FALSE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
