"accuratePass" "saves" "goalKicks" "totalPass" "gameStarted" "cleanSheet" "minsPlayed" "totalClearance" "formationPlace" "fecha" "idequipo" "equipo" "idjugador" "position" "wonTackle" "totalThrows" "totalTackle" "wasFouled" "fouls" "lostCorners" "totalSubOff" "ontargetScoringAtt" "totalScoringAtt" "totalOffside" "blockedScoringAtt" "stats[2, ]" "totalSubOn" "shotOffTarget" "local" "id_partido" "wonCorners" "yellowCard" "cornerTaken" "goalsConceded" "penaltyFaced" "penGoalsConceded" "penaltyConceded" "goalAssist" "goals" "ownGoals" "penaltyWon" "penaltySave" "secondYellow" "redCard"
"12" NA NA "20" "1" NA "90" NA "11" "2019-06-23Z" "a7pwt74ibksb8azlyh5v43vvg" "Cameroon" "7hfh22wx1uldyaeiiacerm1n9" "Attacking Midfielder" NA NA "1" "1" NA NA NA NA NA "1" NA NA NA NA FALSE "6c42b3m0jo37bfy61mr6rkga2" NA NA "1" "3" NA NA NA NA NA NA NA NA NA NA
"6" NA NA "11" "1" NA "68" NA "10" "2019-06-23Z" "a7pwt74ibksb8azlyh5v43vvg" "Cameroon" "51n7w1qor95qwacbcd2sap8q2" "Attacking Midfielder" NA NA "1" "2" NA NA "1" NA NA "2" NA NA NA NA FALSE "6c42b3m0jo37bfy61mr6rkga2" NA NA NA "3" NA NA NA NA NA NA NA NA NA NA
"14" NA NA "21" "1" NA "90" NA "7" "2019-06-23Z" "a7pwt74ibksb8azlyh5v43vvg" "Cameroon" "94161is0x6f3s9kyrm2cxjf85" "Attacking Midfielder" NA NA NA NA "3" NA NA NA "1" NA NA NA NA "1" FALSE "6c42b3m0jo37bfy61mr6rkga2" "1" NA NA "3" NA NA NA NA NA NA NA NA NA NA
"8" NA NA "13" "1" NA "53" "1" "9" "2019-06-23Z" "a7pwt74ibksb8azlyh5v43vvg" "Cameroon" "7nhc481pjum5edbsrrsrtjgt1" "Striker" "1" NA "1" NA NA NA "1" NA "2" NA NA NA NA "2" FALSE "6c42b3m0jo37bfy61mr6rkga2" NA NA NA "2" NA NA NA NA NA NA NA NA NA NA
"4" NA NA "9" NA NA "22" NA "0" "2019-06-23Z" "a7pwt74ibksb8azlyh5v43vvg" "Cameroon" "d2p3iq9yhqxbt5yoctca54esp" "Substitute" NA NA NA NA NA NA NA "1" "2" NA NA NA "1" "1" FALSE "6c42b3m0jo37bfy61mr6rkga2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-23Z" "a7pwt74ibksb8azlyh5v43vvg" "Cameroon" "7mlx17smwd387x1lq6blnm6dx" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "6c42b3m0jo37bfy61mr6rkga2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-23Z" "a7pwt74ibksb8azlyh5v43vvg" "Cameroon" "1lchsfi29gfjnbfl8jkkoarmy" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "6c42b3m0jo37bfy61mr6rkga2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-23Z" "a7pwt74ibksb8azlyh5v43vvg" "Cameroon" "7fv2swwgz3dnq045bz1rlg9g5" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "6c42b3m0jo37bfy61mr6rkga2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-23Z" "a7pwt74ibksb8azlyh5v43vvg" "Cameroon" "7mehuya25b282lf1aqllzc3px" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "6c42b3m0jo37bfy61mr6rkga2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-23Z" "a7pwt74ibksb8azlyh5v43vvg" "Cameroon" "wibn2uli25nw0w4ddbohhnje" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "6c42b3m0jo37bfy61mr6rkga2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-23Z" "a7pwt74ibksb8azlyh5v43vvg" "Cameroon" "c8vwezbwgjdz717rj76x6uew9" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "6c42b3m0jo37bfy61mr6rkga2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-23Z" "a7pwt74ibksb8azlyh5v43vvg" "Cameroon" "dp3cue79sjmcnajft92wzcnh1" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "6c42b3m0jo37bfy61mr6rkga2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-23Z" "a7pwt74ibksb8azlyh5v43vvg" "Cameroon" "4rjate54lmiji82v4drif8ez9" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "6c42b3m0jo37bfy61mr6rkga2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-23Z" "a7pwt74ibksb8azlyh5v43vvg" "Cameroon" "5svngwb323hrwrqg1si5jmvze" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "6c42b3m0jo37bfy61mr6rkga2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" NA NA "7" NA NA "26" NA "0" "2019-06-23Z" "a7pwt74ibksb8azlyh5v43vvg" "Cameroon" "7mvtbhttqtrxki4ln6f3zq0np" "Substitute" NA "1" NA NA NA NA NA NA NA NA NA NA "1" NA FALSE "6c42b3m0jo37bfy61mr6rkga2" "1" NA "1" NA NA NA NA NA NA NA NA NA NA NA
"3" NA NA "6" NA NA "37" "1" "0" "2019-06-23Z" "a7pwt74ibksb8azlyh5v43vvg" "Cameroon" "5ah2xcr4h1qlw51zv559snj6x" "Substitute" NA NA NA NA "2" NA NA "1" "1" "1" NA NA "1" NA FALSE "6c42b3m0jo37bfy61mr6rkga2" NA "1" NA "1" NA NA NA NA NA NA NA NA NA NA
"18" "2" "7" "19" "1" NA "90" "1" "1" "2019-06-09Z" "b5hjnvaafo5plphdcoeozkw49" "England" "2sqm0kt94mwo34oru6o16ydw5" "Goalkeeper" NA NA NA NA NA "1" NA NA NA NA NA NA NA NA TRUE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA "1" NA NA NA NA NA NA NA NA NA NA
"48" NA NA "59" "1" NA "90" "4" "3" "2019-06-09Z" "b5hjnvaafo5plphdcoeozkw49" "England" "c6k1w8sothxmc08dbhqjzp1w5" "Defender" "1" "15" "3" NA "1" NA NA NA "1" NA "1" NA NA NA TRUE "4y1d5z1n24c7ullvv4g7bpisq" "2" NA "6" "1" NA NA NA NA NA NA NA NA NA NA
"36" NA NA "40" "1" NA "55" "1" "6" "2019-06-09Z" "b5hjnvaafo5plphdcoeozkw49" "England" "anghujtc4achyb9mflowgg9n9" "Defender" "1" NA "1" NA NA NA "1" NA NA NA NA NA NA NA TRUE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" NA NA "46" "1" NA "90" NA "5" "2019-06-09Z" "b5hjnvaafo5plphdcoeozkw49" "England" "5vuw3lywsh90t394m8h6g5ihh" "Defender" "1" NA "2" "1" "1" NA NA NA "1" NA NA NA NA "1" TRUE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA "1" NA NA NA NA NA NA NA NA NA NA
"67" NA NA "74" "1" NA "90" "1" "2" "2019-06-09Z" "b5hjnvaafo5plphdcoeozkw49" "England" "1dg7whnmk3nb1adw7n8a7nnbp" "Defender" "2" "3" "2" "1" "1" NA NA NA NA NA NA NA NA NA TRUE "4y1d5z1n24c7ullvv4g7bpisq" "1" NA NA "1" NA NA NA NA NA NA NA NA NA NA
"55" NA NA "61" "1" NA "90" "1" "4" "2019-06-09Z" "b5hjnvaafo5plphdcoeozkw49" "England" "8h7r4d4z2gjne58xwu3koiok5" "Defensive Midfielder" NA NA NA NA NA NA NA NA "1" NA NA NA NA "1" TRUE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA "1" NA NA NA NA NA NA NA NA NA NA
"25" NA NA "29" "1" NA "71" NA "11" "2019-06-09Z" "b5hjnvaafo5plphdcoeozkw49" "England" "3sn815dsm0i0rnw9nigjyb0et" "Midfielder" NA NA "2" NA "1" "1" "1" "1" "1" NA NA NA NA NA TRUE "4y1d5z1n24c7ullvv4g7bpisq" "2" NA "3" NA NA NA NA NA NA NA NA NA NA NA
"32" NA NA "41" "1" NA "82" NA "10" "2019-06-09Z" "b5hjnvaafo5plphdcoeozkw49" "England" "8m3okb64mh1m7dfmp0km4wct1" "Midfielder" NA NA NA NA NA NA "1" NA "1" NA NA NA NA "1" TRUE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA "1" NA NA NA "1" NA NA NA NA NA NA
"47" NA NA "54" "1" NA "90" "2" "8" "2019-06-09Z" "b5hjnvaafo5plphdcoeozkw49" "England" "aozm5rtnqkoutfk1mijjx7f11" "Midfielder" "3" NA "4" "1" "2" NA NA NA NA NA NA NA NA NA TRUE "4y1d5z1n24c7ullvv4g7bpisq" "1" NA NA "1" NA NA NA NA NA NA NA NA NA NA
"33" NA NA "38" "1" NA "90" NA "7" "2019-06-09Z" "b5hjnvaafo5plphdcoeozkw49" "England" "c705ailfiov40xwoysz0ggct1" "Midfielder" "1" "1" "4" "3" "1" NA NA "1" "2" NA NA NA NA "1" TRUE "4y1d5z1n24c7ullvv4g7bpisq" "1" NA NA "1" NA NA NA NA "1" NA NA NA NA NA
"15" NA NA "21" "1" NA "90" "1" "9" "2019-06-09Z" "b5hjnvaafo5plphdcoeozkw49" "England" "5wob73qv36q7d73zzzu57x8lx" "Striker" "1" NA "1" "1" "1" NA NA "4" "5" "3" NA NA NA "1" TRUE "4y1d5z1n24c7ullvv4g7bpisq" "1" NA NA "1" NA NA NA NA "1" NA NA NA NA NA
"4" NA NA "11" NA NA "19" NA "0" "2019-06-09Z" "b5hjnvaafo5plphdcoeozkw49" "England" "8le8qxc6oyr0kgn4x0aw1mo5x" "Substitute" NA NA "1" NA NA NA NA NA "1" NA "1" NA "1" NA TRUE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA "1" NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-09Z" "b5hjnvaafo5plphdcoeozkw49" "England" "amg2zai9038cdz9uuql3l9rkl" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-09Z" "b5hjnvaafo5plphdcoeozkw49" "England" "eofeaerj2f8tm1xldw18e2o5x" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" NA NA "21" NA NA "35" "2" "0" "2019-06-09Z" "b5hjnvaafo5plphdcoeozkw49" "England" "8evgc5zhtfnqatt15vr3ttwwl" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA "1" NA TRUE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA "1" NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-09Z" "b5hjnvaafo5plphdcoeozkw49" "England" "5vzr4dly8xl2hhybhel0comol" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-09Z" "b5hjnvaafo5plphdcoeozkw49" "England" "cs8bo5xvtd2bq7kd91flepwwl" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" NA NA "8" NA NA "8" NA "0" "2019-06-09Z" "b5hjnvaafo5plphdcoeozkw49" "England" "c4tkrrhs6o8ii0wnmi5y66cwl" "Substitute" NA NA "1" NA NA NA NA NA "1" NA NA NA "1" "1" TRUE "4y1d5z1n24c7ullvv4g7bpisq" "1" NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-09Z" "b5hjnvaafo5plphdcoeozkw49" "England" "92k3ea1daqrl2ri1jn49v0vyt" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-09Z" "b5hjnvaafo5plphdcoeozkw49" "England" "apnae1pkhwjx0hwhg6x0rwst1" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-09Z" "b5hjnvaafo5plphdcoeozkw49" "England" "6zaowm8oua2nzpobekogff1lh" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "4" "13" "25" "1" NA "90" "2" "1" "2019-06-09Z" "a2b820asqu5g583s4bc9rftrl" "Scotland" "17dhbdki75vb64q9a3vvedej9" "Goalkeeper" NA NA NA "1" NA "1" NA NA NA NA NA NA NA NA FALSE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA "2" "1" "1" NA NA NA NA NA NA NA NA
"8" NA NA "15" "1" NA "55" "2" "3" "2019-06-09Z" "a2b820asqu5g583s4bc9rftrl" "Scotland" "17zv6w13g92uhwv0h6kzi0kb9" "Defender" "1" "7" "1" "1" "3" NA "1" NA NA NA NA NA NA NA FALSE "4y1d5z1n24c7ullvv4g7bpisq" NA "1" NA "2" NA "1" "1" NA NA NA NA NA NA NA
"48" NA NA "58" "1" NA "90" "9" "6" "2019-06-09Z" "a2b820asqu5g583s4bc9rftrl" "Scotland" "d9zt8e8lnk9a22we6o6wqyndh" "Defender" "1" NA "1" NA "1" "1" NA NA NA NA NA NA NA NA FALSE "4y1d5z1n24c7ullvv4g7bpisq" NA "1" NA "2" NA "1" NA NA NA NA NA NA NA NA
"40" NA NA "45" "1" NA "90" "7" "5" "2019-06-09Z" "a2b820asqu5g583s4bc9rftrl" "Scotland" "dw2a5y50m5vbzpy53w2e7n179" "Defender" NA NA NA NA NA "2" NA NA "1" NA "1" NA NA NA FALSE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA "2" NA "1" NA NA NA NA NA NA NA NA
"19" NA NA "25" "1" NA "75" "3" "2" "2019-06-09Z" "a2b820asqu5g583s4bc9rftrl" "Scotland" "d3qtg5xhiwe3zamb4mh50whjp" "Defender" "1" "5" "2" NA NA "3" "1" NA NA NA NA NA NA NA FALSE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA "2" NA "1" NA NA NA NA NA NA NA NA
"41" NA NA "47" "1" NA "90" "1" "4" "2019-06-09Z" "a2b820asqu5g583s4bc9rftrl" "Scotland" "dgkmt7f5k9oqruxzsi3x9em6t" "Defensive Midfielder" "3" NA "4" "1" "2" NA NA NA "1" NA "1" NA NA NA FALSE "4y1d5z1n24c7ullvv4g7bpisq" "1" NA "1" "2" NA "1" NA NA NA NA NA NA NA NA
"16" NA NA "24" "1" NA "87" "1" "8" "2019-06-09Z" "a2b820asqu5g583s4bc9rftrl" "Scotland" "9i7w9e580arjgwi09oard5byt" "Defensive Midfielder" "1" NA "4" "1" NA NA "1" NA NA NA NA NA NA NA FALSE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA "2" NA "1" NA NA NA NA NA NA NA NA
"21" NA NA "26" "1" NA "90" NA "11" "2019-06-09Z" "a2b820asqu5g583s4bc9rftrl" "Scotland" "19npqca9guxs7p2yl5sbjmbx1" "Attacking Midfielder" "1" "1" "1" "1" NA NA NA NA NA NA NA NA NA NA FALSE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA "2" NA "1" NA "1" NA NA NA NA NA NA
"30" NA NA "33" "1" NA "90" NA "10" "2019-06-09Z" "a2b820asqu5g583s4bc9rftrl" "Scotland" "5m2ilglr6tlmgs2d4qzk5wno5" "Attacking Midfielder" "2" NA "2" "1" NA "1" NA NA NA "1" NA NA NA NA FALSE "4y1d5z1n24c7ullvv4g7bpisq" NA NA "1" "2" NA "1" NA NA NA NA NA NA NA NA
"12" NA NA "17" "1" NA "90" "1" "7" "2019-06-09Z" "a2b820asqu5g583s4bc9rftrl" "Scotland" "18kiz7s5jlyotkb4p0sbbxyol" "Attacking Midfielder" "1" "3" "3" "1" NA "1" NA "3" "4" NA NA NA NA "1" FALSE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA "2" NA "1" NA NA "1" NA NA NA NA NA
"20" NA NA "28" "1" NA "90" NA "9" "2019-06-09Z" "a2b820asqu5g583s4bc9rftrl" "Scotland" "cij18xj0bx2zyx3mi9xwykn9x" "Striker" "1" NA "1" "1" "2" NA NA NA "1" NA NA NA NA "1" FALSE "4y1d5z1n24c7ullvv4g7bpisq" "1" NA NA "2" NA "1" NA NA NA NA NA NA NA NA
NA NA NA "1" NA NA "3" NA "0" "2019-06-09Z" "a2b820asqu5g583s4bc9rftrl" "Scotland" "2tr7xhh5kwc1hv181hzsngxjp" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA "1" NA FALSE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" NA NA "11" NA NA "15" NA "0" "2019-06-09Z" "a2b820asqu5g583s4bc9rftrl" "Scotland" "d9cewkta4tz35v0p71n5mcvkl" "Substitute" "2" "4" "3" NA NA NA NA NA NA NA NA NA "1" NA FALSE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-09Z" "a2b820asqu5g583s4bc9rftrl" "Scotland" "dfxg796ebvq1yg5n6tjfig6vp" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-09Z" "a2b820asqu5g583s4bc9rftrl" "Scotland" "8m1zaxpia31zue120389es72t" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-09Z" "a2b820asqu5g583s4bc9rftrl" "Scotland" "ei61hdd60p33ma7vddh1bl3o5" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-09Z" "a2b820asqu5g583s4bc9rftrl" "Scotland" "17d3p6fgwgo1qy38av9s4e85x" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-09Z" "a2b820asqu5g583s4bc9rftrl" "Scotland" "3n7gowt345xjex22ljs2hg1jp" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-09Z" "a2b820asqu5g583s4bc9rftrl" "Scotland" "dwqfd6keneim0a6x7fw96zys5" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-09Z" "a2b820asqu5g583s4bc9rftrl" "Scotland" "4i0wlz98zbdahmp8tws150i51" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-09Z" "a2b820asqu5g583s4bc9rftrl" "Scotland" "dwihdw2xhzt7o4ilpttq3twid" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-09Z" "a2b820asqu5g583s4bc9rftrl" "Scotland" "evby1gm2puzpuzrj54oel4iqd" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" NA NA "15" NA NA "35" NA "0" "2019-06-09Z" "a2b820asqu5g583s4bc9rftrl" "Scotland" "dfodeak21qhzgxr7qs85f3vf9" "Substitute" "1" "2" "3" NA NA NA NA NA NA NA NA NA "1" NA FALSE "4y1d5z1n24c7ullvv4g7bpisq" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "5" "6" "20" "1" NA "90" NA "1" "2019-07-06Z" "b5hjnvaafo5plphdcoeozkw49" "England" "apnae1pkhwjx0hwhg6x0rwst1" "Goalkeeper" NA NA NA "1" NA "1" NA NA NA NA NA NA NA NA TRUE "79thgl2j63w3ywiwzt2qh6t7u" NA NA NA "2" NA NA NA NA NA NA NA NA NA NA
"43" NA NA "55" "1" NA "90" "5" "3" "2019-07-06Z" "b5hjnvaafo5plphdcoeozkw49" "England" "c6k1w8sothxmc08dbhqjzp1w5" "Defender" "1" "13" "4" "1" NA "1" NA NA "3" NA "2" NA NA "1" TRUE "79thgl2j63w3ywiwzt2qh6t7u" "1" NA "3" "2" NA NA NA NA NA NA NA NA NA NA
"61" NA NA "66" "1" NA "83" "2" "6" "2019-07-06Z" "b5hjnvaafo5plphdcoeozkw49" "England" "8evgc5zhtfnqatt15vr3ttwwl" "Defender" NA NA NA NA NA NA "1" NA NA NA NA NA NA NA TRUE "79thgl2j63w3ywiwzt2qh6t7u" NA NA NA "2" NA NA NA NA NA NA NA NA NA NA
"43" NA NA "52" "1" NA "90" "1" "5" "2019-07-06Z" "b5hjnvaafo5plphdcoeozkw49" "England" "5vuw3lywsh90t394m8h6g5ihh" "Defender" NA "1" "2" "1" NA NA NA NA "1" NA NA NA NA "1" TRUE "79thgl2j63w3ywiwzt2qh6t7u" NA NA NA "2" NA NA NA NA NA NA NA NA NA NA
"48" NA NA "69" "1" NA "90" "2" "2" "2019-07-06Z" "b5hjnvaafo5plphdcoeozkw49" "England" "1dg7whnmk3nb1adw7n8a7nnbp" "Defender" NA "17" NA "1" "2" NA NA "1" "3" NA NA NA NA "2" TRUE "79thgl2j63w3ywiwzt2qh6t7u" "2" NA NA "2" NA NA NA NA NA NA NA NA NA NA
"39" NA NA "51" "1" NA "90" "3" "4" "2019-07-06Z" "b5hjnvaafo5plphdcoeozkw49" "England" "5vzr4dly8xl2hhybhel0comol" "Defensive Midfielder" "2" NA "2" NA "3" NA NA NA "2" NA NA NA NA "2" TRUE "79thgl2j63w3ywiwzt2qh6t7u" NA "1" NA "2" NA NA NA NA NA NA NA NA NA NA
"12" NA NA "15" "1" NA "50" "1" "11" "2019-07-06Z" "b5hjnvaafo5plphdcoeozkw49" "England" "3sn815dsm0i0rnw9nigjyb0et" "Midfielder" "1" NA "2" "1" "2" NA "1" NA NA "2" NA NA NA NA TRUE "79thgl2j63w3ywiwzt2qh6t7u" NA NA "1" "2" NA NA NA NA NA NA NA NA NA NA
"50" NA NA "57" "1" NA "90" NA "10" "2019-07-06Z" "b5hjnvaafo5plphdcoeozkw49" "England" "8m3okb64mh1m7dfmp0km4wct1" "Midfielder" NA NA "1" NA "1" NA NA "1" "1" NA NA NA NA NA TRUE "79thgl2j63w3ywiwzt2qh6t7u" NA NA NA "2" NA NA NA NA "1" NA NA NA NA NA
"40" NA NA "48" "1" NA "90" NA "8" "2019-07-06Z" "b5hjnvaafo5plphdcoeozkw49" "England" "aozm5rtnqkoutfk1mijjx7f11" "Midfielder" "1" "1" "2" "1" "1" NA NA NA "1" NA "1" NA NA NA TRUE "79thgl2j63w3ywiwzt2qh6t7u" NA NA NA "2" NA NA NA "1" NA NA NA NA NA NA
"21" NA NA "26" "1" NA "74" NA "7" "2019-07-06Z" "b5hjnvaafo5plphdcoeozkw49" "England" "c705ailfiov40xwoysz0ggct1" "Midfielder" NA NA NA "2" "1" NA "1" NA NA NA NA NA NA NA TRUE "79thgl2j63w3ywiwzt2qh6t7u" NA NA NA "2" NA NA NA NA NA NA NA NA NA NA
"18" NA NA "20" "1" NA "90" "1" "9" "2019-07-06Z" "b5hjnvaafo5plphdcoeozkw49" "England" "5wob73qv36q7d73zzzu57x8lx" "Striker" NA "1" NA "1" "1" NA NA "1" "2" "1" "1" NA NA NA TRUE "79thgl2j63w3ywiwzt2qh6t7u" NA NA NA "2" NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-07-06Z" "b5hjnvaafo5plphdcoeozkw49" "England" "2sqm0kt94mwo34oru6o16ydw5" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "79thgl2j63w3ywiwzt2qh6t7u" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" NA NA "18" NA NA "16" NA "0" "2019-07-06Z" "b5hjnvaafo5plphdcoeozkw49" "England" "8le8qxc6oyr0kgn4x0aw1mo5x" "Substitute" NA NA NA NA NA NA NA "1" "1" NA NA NA "1" NA TRUE "79thgl2j63w3ywiwzt2qh6t7u" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" NA NA "5" NA NA "7" NA "0" "2019-07-06Z" "b5hjnvaafo5plphdcoeozkw49" "England" "amg2zai9038cdz9uuql3l9rkl" "Substitute" NA NA NA "1" NA NA NA NA NA NA NA NA "1" NA TRUE "79thgl2j63w3ywiwzt2qh6t7u" "1" NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-07-06Z" "b5hjnvaafo5plphdcoeozkw49" "England" "93h0czojeo1ywk4ln2af0bglx" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "79thgl2j63w3ywiwzt2qh6t7u" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-07-06Z" "b5hjnvaafo5plphdcoeozkw49" "England" "eofeaerj2f8tm1xldw18e2o5x" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "79thgl2j63w3ywiwzt2qh6t7u" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-07-06Z" "b5hjnvaafo5plphdcoeozkw49" "England" "cs8bo5xvtd2bq7kd91flepwwl" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "79thgl2j63w3ywiwzt2qh6t7u" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
