"accuratePass" "saves" "goalKicks" "totalPass" "gameStarted" "cleanSheet" "minsPlayed" "totalClearance" "formationPlace" "fecha" "idequipo" "equipo" "idjugador" "position" "wonTackle" "totalThrows" "totalTackle" "wasFouled" "fouls" "lostCorners" "totalSubOff" "ontargetScoringAtt" "totalScoringAtt" "totalOffside" "blockedScoringAtt" "stats[2, ]" "totalSubOn" "shotOffTarget" "local" "id_partido" "wonCorners" "yellowCard" "cornerTaken" "goalsConceded" "penaltyFaced" "penGoalsConceded" "penaltyConceded" "goalAssist" "goals" "ownGoals" "penaltyWon" "penaltySave" "secondYellow" "redCard"
NA NA NA "3" NA NA "13" NA "0" "2019-06-10Z" "3btsze7bdibe9vm0to62hecrv" "Argentina" "b43zac5bufmq6ei1ri1qxqz9" "Substitute" NA NA "1" NA NA NA NA NA "1" NA NA NA "1" "1" TRUE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-10Z" "3btsze7bdibe9vm0to62hecrv" "Argentina" "rcm6fuexamnki4rncpbezc6i" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-10Z" "3btsze7bdibe9vm0to62hecrv" "Argentina" "aii1h1437x71z9eapcd00slx" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-10Z" "3btsze7bdibe9vm0to62hecrv" "Argentina" "6ir08jrh0wpy995he1w0xg8yy" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-10Z" "3btsze7bdibe9vm0to62hecrv" "Argentina" "6ffaf6o5p28iwweey0c8kohxx" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-10Z" "3btsze7bdibe9vm0to62hecrv" "Argentina" "8s045ti2v83wpewd5s7teac5" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" NA NA "7" NA NA "26" NA "0" "2019-06-10Z" "3btsze7bdibe9vm0to62hecrv" "Argentina" "9s5jdwjyk9klobfdt4wwt5jvt" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA "1" NA TRUE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "1" "4" "22" "1" "1" "90" NA "1" "2019-06-10Z" "br892lrczd8pow3crz8nain5d" "Japan" "1vejfm6fcp0xeyk30r6hv79wp" "Goalkeeper" NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" NA NA "67" "1" "1" "90" "1" "3" "2019-06-10Z" "br892lrczd8pow3crz8nain5d" "Japan" "dicp9qoo1t122y85gjszubdud" "Defender" "1" "14" "1" "1" "1" NA NA NA NA NA NA NA NA NA FALSE "4ycyrvendsowt8ogw4l2xr04q" "1" NA NA NA NA NA NA NA NA NA NA NA NA NA
"105" NA NA "114" "1" "1" "90" "4" "6" "2019-06-10Z" "br892lrczd8pow3crz8nain5d" "Japan" "f98n454u9g97ngyluh0rd4ut" "Defender" NA NA "1" "2" NA NA NA NA NA NA NA NA NA NA FALSE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"95" NA NA "102" "1" "1" "90" NA "5" "2019-06-10Z" "br892lrczd8pow3crz8nain5d" "Japan" "diy9eqdcrua61ao4goq5yges5" "Defender" NA "1" "2" NA NA NA NA NA NA NA NA NA NA NA FALSE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"64" NA NA "76" "1" "1" "90" "1" "2" "2019-06-10Z" "br892lrczd8pow3crz8nain5d" "Japan" "7mdnewy67dddv3ahqw1qhbx05" "Defender" "6" "8" "8" "2" "1" NA NA NA NA NA NA NA NA NA FALSE "4ycyrvendsowt8ogw4l2xr04q" "1" "1" NA NA NA NA NA NA NA NA NA NA NA NA
"40" NA NA "54" "1" "1" "90" NA "11" "2019-06-10Z" "br892lrczd8pow3crz8nain5d" "Japan" "7op9czmiln7ktmvetw97scz4l" "Midfielder" NA "3" NA NA "1" NA NA "1" "2" NA NA NA NA "1" FALSE "4ycyrvendsowt8ogw4l2xr04q" "1" NA "1" NA NA NA NA NA NA NA NA NA NA NA
"60" NA NA "69" "1" "1" "90" NA "8" "2019-06-10Z" "br892lrczd8pow3crz8nain5d" "Japan" "b8xa1whpr8m3e5zbziz9e91bd" "Midfielder" "4" NA "5" NA NA NA NA NA "1" NA NA NA NA "1" FALSE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"56" NA NA "65" "1" "1" "90" NA "4" "2019-06-10Z" "br892lrczd8pow3crz8nain5d" "Japan" "7in4ykzbs8p44qy4jrb10p0wl" "Midfielder" "1" NA "3" NA "1" NA NA NA "1" NA NA NA NA "1" FALSE "4ycyrvendsowt8ogw4l2xr04q" NA "1" NA NA NA NA NA NA NA NA NA NA NA NA
"25" NA NA "36" "1" NA "74" NA "7" "2019-06-10Z" "br892lrczd8pow3crz8nain5d" "Japan" "e9chc4tsfvtb8xuj2t42gl51x" "Midfielder" "2" "2" "2" NA NA NA "1" NA "1" NA NA NA NA "1" FALSE "4ycyrvendsowt8ogw4l2xr04q" NA NA "3" NA NA NA NA NA NA NA NA NA NA NA
"12" NA NA "17" "1" NA "57" NA "9" "2019-06-10Z" "br892lrczd8pow3crz8nain5d" "Japan" "472wyz64a4iir400weagj987p" "Striker" NA NA NA NA NA NA "1" "1" "1" NA NA NA NA NA FALSE "4ycyrvendsowt8ogw4l2xr04q" NA NA "1" NA NA NA NA NA NA NA NA NA NA NA
"14" NA NA "25" "1" NA "89" NA "10" "2019-06-10Z" "br892lrczd8pow3crz8nain5d" "Japan" "7fvk76seu5el3qlql42u4gwk5" "Striker" "1" NA "1" "2" "1" NA "1" NA "2" NA "1" NA NA "1" FALSE "4ycyrvendsowt8ogw4l2xr04q" "2" NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" NA NA "8" NA NA "16" NA "0" "2019-06-10Z" "br892lrczd8pow3crz8nain5d" "Japan" "avhmou9ayqv9te0nocy80aga1" "Substitute" "1" NA "1" NA NA NA NA NA NA NA NA NA "1" NA FALSE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-10Z" "br892lrczd8pow3crz8nain5d" "Japan" "7m2fv4mhu2by1x4do4zcaowk5" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-10Z" "br892lrczd8pow3crz8nain5d" "Japan" "befz2d9th1vcbkrac7ys5plh" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-10Z" "br892lrczd8pow3crz8nain5d" "Japan" "c3ojk4yaaqtzizvq5l7qzkf6d" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" NA NA "13" NA NA "33" NA "0" "2019-06-10Z" "br892lrczd8pow3crz8nain5d" "Japan" "e6pdkq17etv9k527m94sqqu39" "Substitute" NA NA NA NA "1" NA NA NA NA NA NA NA "1" NA FALSE "4ycyrvendsowt8ogw4l2xr04q" NA "1" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-10Z" "br892lrczd8pow3crz8nain5d" "Japan" "cnnfu8zxkeb5cq1jx0qnvmxh" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-10Z" "br892lrczd8pow3crz8nain5d" "Japan" "bz8sv2aepa96gcqahiu0r3yt" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-10Z" "br892lrczd8pow3crz8nain5d" "Japan" "7flba3n7l2f22dr50xgi2b179" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-10Z" "br892lrczd8pow3crz8nain5d" "Japan" "7p90xt2oakctnbc9a0bgbjpw5" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-10Z" "br892lrczd8pow3crz8nain5d" "Japan" "ct32nnbfvl4fba0rge3sqnrh1" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"1" NA NA "1" NA NA "1" NA "0" "2019-06-10Z" "br892lrczd8pow3crz8nain5d" "Japan" "9ww7juyjcdpja51ov7t9hnf1l" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA "1" NA FALSE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
