"id_partido","equipo","torneo.x","goals","totalScoringAtt","ontargetScoringAtt","blockedScoringAtt","shotOffTarget","X._precisionTiros","torneo.y","PasesTotales","Total_accuratePass","X._precision","torneo","saves","penaltyConceded","totalClearance","penGoalsConcededEquipo","golesSalvados","totalTackle","wonTackle","fouls","yellowCard","wasFouled","totalThrows","totalOffside","lostCorners","wonCorners","foulsInofensivos","cortarJuegoContrario","juegoCortado"
"6cmxk2cvrlhae7fnwv0ba0okq","Netherlands","ADULTO",2,12,5,6,1,41.6666666666667,"ADULTO",572,458,80.0699300699301,"ADULTO",3,0,12,0,15,13,8,8,0,7,26,2,2,3,8,16,38
"75omel4hben5rd354vq4r54ru","South Africa","ADULTO",1,5,2,2,1,40,"ADULTO",213,101,47.4178403755869,"ADULTO",9,2,35,1.90909090909091,47.8181818181818,9,6,13,2,12,20,0,5,2,11,19,34
"75omel4hben5rd354vq4r54ru","Spain","ADULTO",3,27,12,8,7,44.4444444444444,"ADULTO",575,457,79.4782608695652,"ADULTO",1,0,12,0,13,9,7,12,1,12,23,2,2,5,11,19,42
"75z7wss89f61dprev9orhxh7u","China PR","ADULTO",0,5,1,2,2,20,"ADULTO",365,213,58.3561643835616,"ADULTO",3,0,36,0,39,30,17,19,4,6,25,1,8,3,15,36,35
"75z7wss89f61dprev9orhxh7u","Germany","ADULTO",1,16,4,5,7,25,"ADULTO",485,341,70.3092783505155,"ADULTO",1,0,12,0,13,20,9,7,1,19,34,3,3,8,6,16,64
"765sinxhe1egzcb20ttd9n7fu","Germany","ADULTO",1,13,7,2,4,53.8461538461538,"ADULTO",285,177,62.1052631578947,"ADULTO",2,0,34,0,36,27,12,8,1,9,24,6,7,2,7,20,41
"765sinxhe1egzcb20ttd9n7fu","Spain","ADULTO",0,16,2,8,6,12.5,"ADULTO",491,384,78.2077393075356,"ADULTO",6,0,14,0,20,27,18,9,0,8,25,3,2,7,9,27,43
"76bu6nkja1op5yvpj2ef5u4bu","China PR","ADULTO",1,16,3,5,8,18.75,"ADULTO",432,282,65.2777777777778,"ADULTO",1,0,13,0,14,11,8,12,0,3,44,2,3,7,12,20,56
"76bu6nkja1op5yvpj2ef5u4bu","South Africa","ADULTO",0,5,1,0,4,20,"ADULTO",405,257,63.4567901234568,"ADULTO",2,0,19,0,21,22,15,3,1,12,45,2,7,3,2,18,62
"76i33vw4ineffzzlcrbrh30iy","Germany","ADULTO",4,23,12,4,7,52.1739130434783,"ADULTO",550,457,83.0909090909091,"ADULTO",1,0,15,0,16,14,10,9,1,11,23,5,1,8,8,19,47
"76i33vw4ineffzzlcrbrh30iy","South Africa","ADULTO",0,6,1,2,3,16.6666666666667,"ADULTO",370,276,74.5945945945946,"ADULTO",8,0,23,0,31,19,15,11,3,8,25,2,8,1,8,26,36
"76pfe44w3ukkt2msnzkkpl4dm","China PR","ADULTO",0,1,0,1,0,0,"ADULTO",338,196,57.9881656804734,"ADULTO",9,0,29,0,38,28,14,14,1,14,18,2,8,0,13,28,34
"76pfe44w3ukkt2msnzkkpl4dm","Spain","ADULTO",0,24,9,7,8,37.5,"ADULTO",568,424,74.6478873239437,"ADULTO",0,0,3,0,3,19,12,14,0,10,34,0,0,8,14,26,52
"79thgl2j63w3ywiwzt2qh6t7u","England","ADULTO",1,14,4,4,6,28.5714285714286,"ADULTO",511,416,81.4090019569472,"ADULTO",5,0,15,0,20,14,6,11,1,10,33,4,2,4,10,17,51
"79thgl2j63w3ywiwzt2qh6t7u","Sweden","ADULTO",2,8,7,0,1,87.5,"ADULTO",323,210,65.015479876161,"ADULTO",2,0,19,0,21,22,15,11,1,8,20,0,4,2,10,26,30
"7vkyxyi59zv5g0rhkcnvle54a","Germany U20","SUB20",1,19,6,6,7,31.5789473684211,"SUB20",450,332,73.7777777777778,"SUB20",2,0,9,0,11,25,20,13,0,16,29,1,3,6,13,33,52
"7vkyxyi59zv5g0rhkcnvle54a","Nigeria U20","SUB20",0,9,2,3,4,22.2222222222222,"SUB20",289,188,65.0519031141868,"SUB20",5,0,12,0,17,19,18,14,2,13,7,1,6,3,12,32,24
"7vqkk1rztn0xtmy0x4j59akbu","China PR U20","SUB20",2,10,4,0,6,40,"SUB20",317,205,64.6687697160883,"SUB20",3,1,31,1,35,26,23,14,2,10,25,5,3,1,12,37,41
"7vqkk1rztn0xtmy0x4j59akbu","Haiti U20","SUB20",1,17,5,2,10,29.4117647058824,"SUB20",298,195,65.4362416107383,"SUB20",2,0,19,0,21,24,17,10,1,12,36,2,1,3,9,27,53
"7vuvgghanmxzf166aoyhb6iju","China PR U20","SUB20",0,10,4,2,4,40,"SUB20",449,353,78.619153674833,"SUB20",7,0,28,0,35,29,27,3,1,11,28,2,4,5,2,30,46
"7vuvgghanmxzf166aoyhb6iju","Germany U20","SUB20",2,16,9,3,4,56.25,"SUB20",424,324,76.4150943396226,"SUB20",4,0,16,0,20,19,14,11,0,3,26,2,5,4,11,25,35
"7vysxw51rrqzrbmjie6yaorca","Haiti U20","SUB20",0,14,4,2,8,28.5714285714286,"SUB20",334,208,62.2754491017964,"SUB20",1,1,13,1,15,24,23,9,0,17,47,2,0,6,9,32,72
"7vysxw51rrqzrbmjie6yaorca","Nigeria U20","SUB20",1,8,2,2,4,25,"SUB20",272,157,57.7205882352941,"SUB20",4,0,18,0,22,16,14,15,1,9,27,1,6,0,14,29,37
"7w2wzxai7um8vm9f31dgeda3u","Germany U20","SUB20",3,7,6,1,0,85.7142857142857,"SUB20",407,304,74.6928746928747,"SUB20",4,0,10,0,14,25,13,14,2,15,40,10,2,3,12,27,68
"7w2wzxai7um8vm9f31dgeda3u","Haiti U20","SUB20",2,11,6,0,5,54.5454545454545,"SUB20",280,183,65.3571428571429,"SUB20",3,0,16,0,19,20,15,15,2,14,34,0,3,2,13,30,50
"7w6vfa2bmwit96k3x8rzs5eui","China PR U20","SUB20",1,14,6,3,5,42.8571428571429,"SUB20",405,325,80.2469135802469,"SUB20",5,0,40,0,45,25,13,3,0,17,25,2,7,7,3,16,51
"7w6vfa2bmwit96k3x8rzs5eui","Nigeria U20","SUB20",0,13,5,2,6,38.4615384615385,"SUB20",316,221,69.9367088607595,"SUB20",4,0,18,0,22,28,23,22,2,3,34,2,7,7,20,45,46
"8d5m2pedthr0x9cvfid6ytjl6","England U20","SUB20",1,10,8,1,1,80,"SUB20",346,255,73.6994219653179,"SUB20",5,1,17,1,23,18,12,25,1,9,19,2,4,4,24,37,34
"8d5m2pedthr0x9cvfid6ytjl6","France U20","SUB20",1,13,6,1,6,46.1538461538462,"SUB20",514,402,78.2101167315175,"SUB20",7,0,6,0,13,17,13,10,1,24,31,2,4,4,9,23,61
"956icjsxgz4ha98gurfx47cdm","England","ADULTO",3,16,6,4,6,37.5,"ADULTO",468,367,78.4188034188034,"ADULTO",3,0,15,0,18,19,10,12,0,11,17,1,2,5,12,22,34
"956icjsxgz4ha98gurfx47cdm","Norway","ADULTO",0,12,4,4,4,33.3333333333333,"ADULTO",467,367,78.5867237687366,"ADULTO",3,1,12,0,15,14,9,11,1,11,19,0,5,2,10,20,32
"95b567cthlr4yzvp2nk4fub1m","France","ADULTO",1,20,5,6,9,25,"ADULTO",444,347,78.1531531531532,"ADULTO",6,0,12,0,18,25,15,8,2,10,42,6,3,7,6,23,65
"95b567cthlr4yzvp2nk4fub1m","United States","ADULTO",2,10,8,1,1,80,"ADULTO",291,188,64.6048109965636,"ADULTO",4,0,29,0,33,20,14,11,0,8,35,3,7,3,11,25,49
"95fo8jh0f6rt2u40ogyv7pjl6","Italy","ADULTO",0,8,4,1,3,50,"ADULTO",268,183,68.2835820895522,"ADULTO",7,0,18,0,25,18,11,13,4,14,15,0,2,2,9,24,31
"95fo8jh0f6rt2u40ogyv7pjl6","Netherlands","ADULTO",2,20,9,4,7,45,"ADULTO",451,367,81.3747228381375,"ADULTO",4,0,11,0,15,19,10,16,0,13,26,0,2,2,16,26,41
"95jfmlwlbki3p8vypzauzntyi","Germany","ADULTO",1,13,6,3,4,46.1538461538462,"ADULTO",530,411,77.5471698113208,"ADULTO",4,0,6,0,10,21,12,6,0,8,33,3,3,5,6,18,49
"95jfmlwlbki3p8vypzauzntyi","Sweden","ADULTO",2,12,6,2,4,50,"ADULTO",301,206,68.4385382059801,"ADULTO",5,0,22,0,27,16,9,8,1,6,26,1,5,3,7,17,36
"a9zy036k5b5vtmap41og5206i","Cameroon","ADULTO",0,4,0,1,3,0,"ADULTO",207,107,51.6908212560386,"ADULTO",3,0,40,0,43,16,9,12,2,9,23,3,10,4,10,21,39
"a9zy036k5b5vtmap41og5206i","Canada","ADULTO",1,16,4,5,7,25,"ADULTO",580,465,80.1724137931034,"ADULTO",0,0,8,0,8,18,12,10,0,11,30,4,4,10,10,22,55
"aa9iz0jvfspcbqn0xqb2wz33e","Netherlands","ADULTO",1,16,3,6,7,18.75,"ADULTO",658,552,83.8905775075988,"ADULTO",3,0,10,0,13,14,6,8,0,4,26,1,1,8,8,14,39
"aa9iz0jvfspcbqn0xqb2wz33e","New Zealand","ADULTO",0,5,3,1,1,60,"ADULTO",291,167,57.3883161512027,"ADULTO",2,0,26,0,28,20,13,4,0,8,24,1,8,1,4,17,34
"aah8p79a6f36tuqjbgjdkwz8q","Cameroon","ADULTO",1,11,2,4,5,18.1818181818182,"ADULTO",301,192,63.7873754152824,"ADULTO",1,0,17,0,18,26,19,15,3,5,21,0,0,3,12,34,29
"aah8p79a6f36tuqjbgjdkwz8q","Netherlands","ADULTO",3,11,4,4,3,36.3636363636364,"ADULTO",481,368,76.5072765072765,"ADULTO",1,0,16,0,17,26,18,5,0,14,26,1,3,0,5,23,41
"aao0i74j5g2sbzhl35uuc9duy","Canada","ADULTO",2,24,6,5,13,25,"ADULTO",618,520,84.1423948220065,"ADULTO",0,0,11,0,11,25,15,8,0,5,29,1,1,8,8,23,43
"aao0i74j5g2sbzhl35uuc9duy","New Zealand","ADULTO",0,2,0,0,2,0,"ADULTO",275,152,55.2727272727273,"ADULTO",3,0,30,0,33,17,8,5,0,8,29,2,8,1,5,13,40
"aaum9wvfb2968mq8qn5w79a3u","Canada","ADULTO",1,12,2,4,6,16.6666666666667,"ADULTO",415,309,74.4578313253012,"ADULTO",0,0,18,0,18,26,17,6,2,13,33,2,0,1,4,23,49
"aaum9wvfb2968mq8qn5w79a3u","Netherlands","ADULTO",2,8,2,1,5,25,"ADULTO",399,285,71.4285714285714,"ADULTO",1,0,21,0,22,29,16,14,2,6,41,2,1,0,12,30,49
"ab2ti1r6v9iaaboiq17fuoga2","Cameroon","ADULTO",2,22,6,2,14,27.2727272727273,"ADULTO",317,202,63.7223974763407,"ADULTO",1,0,17,0,18,22,17,15,1,8,25,5,4,3,14,32,41
"ab2ti1r6v9iaaboiq17fuoga2","New Zealand","ADULTO",0,9,1,0,8,11.1111111111111,"ADULTO",439,300,68.3371298405467,"ADULTO",4,0,14,0,18,23,15,9,1,13,35,3,3,4,8,24,55
"ax2eg9iogixk10lydh4cm6e0a","Paraguay U20","SUB20",1,14,3,4,7,21.4285714285714,"SUB20",171,83,48.5380116959064,"SUB20",8,0,19,0,27,27,23,10,2,5,25,1,3,5,8,33,36
"ax2eg9iogixk10lydh4cm6e0a","Spain U20","SUB20",4,21,13,1,7,61.9047619047619,"SUB20",493,394,79.9188640973631,"SUB20",2,0,22,0,24,32,27,6,0,9,27,3,5,3,6,33,42
"ax6c6ppoomxobms64f9meodwq","Japan U20","SUB20",1,14,4,5,5,28.5714285714286,"SUB20",353,242,68.5552407932011,"SUB20",2,0,25,0,27,28,19,12,0,6,31,3,5,3,12,31,43
"ax6c6ppoomxobms64f9meodwq","United States U20","SUB20",0,10,3,2,5,30,"SUB20",466,363,77.8969957081545,"SUB20",3,0,15,0,18,15,9,6,1,12,48,3,3,5,5,15,68
"ax9aaxsj6rm5ii4o32ti4o6ei","Japan U20","SUB20",0,8,3,3,2,37.5,"SUB20",381,274,71.9160104986877,"SUB20",3,0,24,0,27,17,11,7,0,9,37,0,6,1,7,18,47
"ax9aaxsj6rm5ii4o32ti4o6ei","Spain U20","SUB20",1,10,4,2,4,40,"SUB20",474,336,70.8860759493671,"SUB20",3,0,13,0,16,14,11,9,2,6,36,3,1,6,7,20,51
