"accuratePass" "goalsConceded" "saves" "goalKicks" "totalPass" "gameStarted" "minsPlayed" "formationPlace" "fecha" "idequipo" "equipo" "idjugador" "position" "wonTackle" "yellowCard" "totalThrows" "totalTackle" "fouls" "wasFouled" "lostCorners" "totalClearance" "ontargetScoringAtt" "totalScoringAtt" "shotOffTarget" "wonCorners" "blockedScoringAtt" "totalSubOff" "cornerTaken" "goals" "stats[2, ]" "totalSubOn" "local" "id_partido" "ownGoals" "totalOffside" "goalAssist" "penaltyFaced" "penGoalsConceded" "penaltyConceded" "penaltyWon" "redCard" "cleanSheet" "secondYellow" "penaltySave"
"15" "2" NA NA "22" NA "61" "0" "2019-06-04Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "f4volqxnck01nospitq47qb8q" "Substitute" "1" NA NA "1" "1" "5" NA NA NA NA NA "1" NA NA NA NA NA "1" TRUE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA "2019-06-04Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "4nqojnfcyud86ocuiic0dlfxl" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA "2019-06-04Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "18u94wuu2q3k4donaf5dxhmg9" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
"14" "1" NA NA "20" NA "26" "0" "2019-06-04Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "3w14rgqjh2jmrfib07kf17hpm" "Substitute" "1" NA NA "1" "1" NA NA NA NA NA NA NA NA NA NA NA NA "1" TRUE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
"6" "1" NA NA "10" NA "33" "0" "2019-06-04Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "arno836luk92dc3iaqaxnrvca" "Substitute" NA NA NA "1" "1" "1" NA NA "1" "1" NA "3" NA NA "1" NA NA "1" TRUE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA "2019-06-04Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "ec9fl6fj4s7u0hwdgexrch97t" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
"11" "2" "7" "14" "39" "1" "120" "1" "2019-06-04Z" "1qk78ws04kb0mqj4nnwx7my0p" "Mali U20" "b3jzixe1q1zfkwta4hahssdbe" "Goalkeeper" NA NA NA NA NA NA "1" "1" NA NA NA NA NA NA NA NA NA NA FALSE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
"21" "2" NA NA "31" "1" "120" "4" "2019-06-04Z" "1qk78ws04kb0mqj4nnwx7my0p" "Mali U20" "vjyr3kipaicau830qxrqpsh6" "Defender" "1" NA "1" "1" "1" "1" "4" "10" NA NA NA NA NA NA NA NA NA NA FALSE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
"14" "2" NA NA "20" "1" "120" "5" "2019-06-04Z" "1qk78ws04kb0mqj4nnwx7my0p" "Mali U20" "12uxqpy1ctpyaqv2i9mx1iicq" "Defender" NA NA NA NA NA NA "1" "3" "1" "2" "1" NA NA NA NA "1" NA NA FALSE "cu7f8bbg2i2hvbnaqxquccjmy" "1" NA NA NA NA NA NA NA NA NA NA
"22" "2" NA NA "33" "1" "120" "6" "2019-06-04Z" "1qk78ws04kb0mqj4nnwx7my0p" "Mali U20" "acaf3a8bknnn14ba83rgalwmi" "Defender" "1" NA NA "1" NA NA "1" "1" NA NA NA NA NA NA NA NA NA NA FALSE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
