"accuratePass";"goalsConceded";"saves";"penaltyFaced";"goalKicks";"totalPass";"gameStarted";"penGoalsConceded";"minsPlayed";"totalClearance";"formationPlace";"fecha";"idequipo";"equipo";"idjugador";"position";"firstName";"lastName";"wonTackle";"wasFouled";"lostCorners";"totalThrows";"totalTackle";"ontargetScoringAtt";"totalScoringAtt";"goals";"penaltyConceded";"totalOffside";"wonCorners";"fouls";"shotOffTarget";"yellowCard";"totalSubOff";"goalAssist";"cornerTaken";"stats[2, ]";"totalSubOn";"local";"id_partido";"blockedScoringAtt";"penaltyWon";"redCard";"secondYellow";"ownGoals";"cleanSheet";"penaltySave"
"11";"1";"4";"1";"9";"25";"1";"1";"90";"1";"1";"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"5hxyo9kveiykjyewoat4q7yl1";"Goalkeeper";"Eryin Alexis";"Sanhueza Mora";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"31";"1";NA;NA;NA;"41";"1";"1";"90";"2";"4";"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"abb1eu1hpcrox97w3z01nxrkl";"Defender";"Fabián Andrés";"Torres Cuello";"2";"1";"1";"1";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"34";"1";NA;NA;NA;"39";"1";"1";"90";"3";"5";"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"be2mkt8tl6bgnm4nyzb5l02c5";"Defender";"Manuel Elías";"Fernández Guzmán";"3";NA;NA;"1";"4";"1";"1";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"26";"1";NA;NA;NA;"34";"1";"1";"90";"1";"6";"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"epvt3nij5xk960wrr4omk2f2t";"Defender";"Carlos Alfredo";"Labrin Candia";"4";NA;NA;"3";"4";NA;NA;NA;"1";"1";"1";"2";NA;NA;NA;NA;NA;NA;NA;TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"32";"1";NA;NA;NA;"47";"1";"1";"90";NA;"3";"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"8i2jufhd0hz8i0n88p82sk0r9";"Midfielder";"Matías Daniel";"Campos Toro";NA;NA;NA;"6";NA;NA;"2";NA;NA;"1";NA;"2";"2";NA;NA;NA;NA;NA;NA;TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"38";"1";NA;NA;NA;"42";"1";"1";"76";NA;"8";"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"3i66iyijtz2p4xd7ngsc444ph";"Midfielder";"Ariel Elías";"Martínez Arce";NA;"1";NA;NA;"2";NA;NA;NA;NA;NA;NA;"1";NA;"1";"1";NA;NA;NA;NA;TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"24";NA;NA;NA;NA;"27";"1";NA;"45";NA;"7";"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"4yvk7o42utehkf7nki39zafo5";"Midfielder";"Iván Gonzalo";"Vásquez Quilodrán";NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"22";"1";NA;NA;NA;"27";"1";"1";"90";"3";"2";"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"4ry41imxbur7epfo5igydybpx";"Midfielder";"Osvaldo Javier";"Bosso Torres";"2";"2";NA;"13";"2";NA;"1";NA;NA;NA;NA;"3";"1";"1";NA;"1";NA;NA;NA;TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"62";"1";NA;NA;NA;"70";"1";"1";"90";NA;"9";"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"18pa8hde4d0jkbtpltej87tg5";"Attacking Midfielder";"Iván Patricio";"Ledezma Ahumada";"1";NA;NA;NA;"1";"2";"3";NA;NA;NA;NA;"1";"1";NA;NA;NA;"1";NA;NA;TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"9";NA;NA;NA;NA;"12";"1";NA;"45";NA;"11";"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"adh3gj9e2avq8j3ib8kbfjw7p";"Striker";"Renato Nicolás";"Tarifeño Aranda";"2";"1";NA;NA;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"10";"1";NA;NA;NA;"16";"1";"1";"90";NA;"10";"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"edzgrsne5h4lt5m2aex9s59t5";"Striker";"Sergio Henrique";"Santos Gomes";"3";"5";NA;NA;"3";"1";"1";NA;NA;"3";NA;"2";NA;NA;NA;NA;NA;NA;NA;TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"a1ifm5kvocs5jjejgg3tkp1x";"Substitute";"Darío";"Bottinelli";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"40";"1";NA;NA;NA;"41";NA;"1";"45";NA;"0";"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"8vrkluulimwjtncia6xiui5zp";"Substitute";"Luis Alberto";"Cabrera Figueroa";NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;"1";TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"9j5hkfilerc8upy6zl1gpucph";"Substitute";"Nicolás Ignacio";"Crovetto Aqueveque";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"8bs8qz265kj9bhn8lx09cifvt";"Substitute";"Ricardo Antonio";"Escobar Acuña";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"56xhn0pktp3nfatvz4qsmjwq2";"Substitute";"Joaquín Andrés";"García Epull";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;"3";NA;NA;"14";NA;"0";"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"ap0mzingo9tmhjmr4qe86ww6h";"Substitute";"Jonathan Carlos";"Herrera";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"22";"1";NA;NA;NA;"25";NA;"1";"45";NA;"0";"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"bn04vhl78qfknkl5fk84rkuz9";"Substitute";"Juan Andrés";"Leiva Mieres";"1";NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;"1";TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"17";"1";"3";NA;"8";"27";"1";NA;"90";"1";"1";"2018-10-28Z";"ehsvy9m92bp6ktgoy6pwv8rdm";"Colo Colo";"dxettc5wk3wo8vqtwm4hxztg5";"Goalkeeper";"Agustín Ignacio";"Orión";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;FALSE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"38";"1";NA;NA;NA;"45";"1";NA;"90";"3";"3";"2018-10-28Z";"ehsvy9m92bp6ktgoy6pwv8rdm";"Colo Colo";"8yak0o9o7z5j5ribga3ui2cb9";"Defender";"Gabriel Alonso";"Suazo Urbina";"1";"1";NA;"4";"2";NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;FALSE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"23";"1";NA;NA;NA;"31";"1";NA;"90";"5";"6";"2018-10-28Z";"ehsvy9m92bp6ktgoy6pwv8rdm";"Colo Colo";"7n849c9llm9q8vtnp2hmoqw2d";"Defender";"Juan Manuel";"Insaurralde";NA;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;"3";NA;NA;NA;NA;NA;NA;NA;FALSE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"34";"1";NA;NA;NA;"38";"1";NA;"90";"4";"5";"2018-10-28Z";"ehsvy9m92bp6ktgoy6pwv8rdm";"Colo Colo";"91xhp8j5sfkoe2ph0uejj3d91";"Defender";"Matías Ezequiel";"Zaldivia";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;"3";NA;"1";NA;NA;NA;NA;NA;FALSE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"20";"1";NA;NA;NA;"25";"1";NA;"90";"3";"2";"2018-10-28Z";"ehsvy9m92bp6ktgoy6pwv8rdm";"Colo Colo";"1jh74cxv1fis332qfdchysyqd";"Defender";"Felipe Manuel";"Campos Mosqueira";"1";NA;NA;"7";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"30";NA;NA;NA;NA;"39";"1";NA;"87";NA;"11";"2018-10-28Z";"ehsvy9m92bp6ktgoy6pwv8rdm";"Colo Colo";"avzd8n4n9x655hu62cspydot1";"Midfielder";"César Ignacio";"Pinares Tamayo";"2";"1";NA;NA;"2";NA;NA;NA;NA;"1";"1";NA;NA;NA;"1";NA;"1";NA;NA;FALSE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"41";"1";NA;NA;NA;"45";"1";NA;"90";"1";"8";"2018-10-28Z";"ehsvy9m92bp6ktgoy6pwv8rdm";"Colo Colo";"7w1g96dq26tk2oqrplan9rkd1";"Midfielder";"Esteban Andres";"Pavez Suazo";"4";"2";"1";NA;"5";NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;FALSE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"46";"1";NA;NA;NA;"55";"1";NA;"90";"1";"4";"2018-10-28Z";"ehsvy9m92bp6ktgoy6pwv8rdm";"Colo Colo";"47cw7z4p92y3ioalree2uvf85";"Midfielder";"Jaime Andrés";"Valdés Zapata";"2";"1";NA;NA;"2";"1";"3";NA;NA;NA;NA;NA;"2";NA;NA;NA;"1";NA;NA;FALSE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"11";NA;NA;NA;NA;"11";"1";NA;"79";"1";"7";"2018-10-28Z";"ehsvy9m92bp6ktgoy6pwv8rdm";"Colo Colo";"b6l6cav75axv8b7a3j7zcn84p";"Midfielder";"Iván Andrés";"Morales Bravo";"2";"2";NA;NA;"2";NA;"2";NA;NA;NA;NA;NA;"2";NA;"1";NA;NA;NA;NA;FALSE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"32";"1";NA;NA;NA;"41";"1";NA;"90";NA;"9";"2018-10-28Z";"ehsvy9m92bp6ktgoy6pwv8rdm";"Colo Colo";"7wivp3regznx3vdr8ektnflcl";"Striker";"Lucas Ramón";"Barrios Cáceres";"2";"2";NA;NA;"2";"1";"4";NA;NA;"1";"1";"1";"2";NA;NA;NA;NA;NA;NA;FALSE;"33ydtzo3zqd6sy77cbrrsy22";"1";"1";NA;NA;NA;NA;NA
"16";NA;NA;NA;NA;"22";"1";NA;"73";NA;"10";"2018-10-28Z";"ehsvy9m92bp6ktgoy6pwv8rdm";"Colo Colo";"y9v0u6zwopgjkp64nili8rth";"Striker";"Esteban Efraín";"Paredes Quintanilla";NA;NA;NA;NA;NA;"3";"4";"1";NA;NA;NA;"1";"1";NA;"1";NA;NA;NA;NA;FALSE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"1";"1";NA;NA;NA;"1";NA;NA;"3";"2";"0";"2018-10-28Z";"ehsvy9m92bp6ktgoy6pwv8rdm";"Colo Colo";"atheibripyjr0rr4zn3klkzbp";"Substitute";"Julio Alberto";"Barroso";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";FALSE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2018-10-28Z";"ehsvy9m92bp6ktgoy6pwv8rdm";"Colo Colo";"5a1jlrtl6pezuwkzcm40ab179";"Substitute";"Brayan Josué";"Cortés Fernández";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;FALSE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"3";"1";NA;NA;NA;"4";NA;NA;"11";"1";"0";"2018-10-28Z";"ehsvy9m92bp6ktgoy6pwv8rdm";"Colo Colo";"9vt4ulv6w9gcl66wdzwu04id";"Substitute";"Gonzalo Antonio";"Fierro Caniullán";NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";FALSE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2018-10-28Z";"ehsvy9m92bp6ktgoy6pwv8rdm";"Colo Colo";"5se5rrc72pyoamtqw2f4swpg5";"Substitute";"Nicolás Alexander";"Maturana Caneo";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;FALSE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2018-10-28Z";"ehsvy9m92bp6ktgoy6pwv8rdm";"Colo Colo";"2pvxu1njn98w26idcbacr6j1l";"Substitute";"Branco Antonio";"Provoste Ovalle";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;FALSE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"6";"1";NA;NA;NA;"7";NA;NA;"17";NA;"0";"2018-10-28Z";"ehsvy9m92bp6ktgoy6pwv8rdm";"Colo Colo";"25d8ampacze5t9xwffna4ullh";"Substitute";"Damián Alfredo";"Pérez";"3";NA;NA;"2";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";FALSE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2018-10-28Z";"ehsvy9m92bp6ktgoy6pwv8rdm";"Colo Colo";"dxtv4idhrzxkw9dxp3fytfpp1";"Substitute";"Bryan Alfonso";"Vejar Utreras";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;FALSE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"11";"1";"4";"1";"6";"25";"1";"1";"90";"1";"1";"2018-11-23Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"276g6pfpah0p1dva0bfi18hqt";"Goalkeeper";"Joaquín Emanuel";"Muñoz Almarza";NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;"9yqjhj9zgfyl38axyhnen927e";NA;NA;NA;NA;NA;NA;NA
"15";"1";NA;NA;NA;"20";"1";"1";"90";"8";"4";"2018-11-23Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"abb1eu1hpcrox97w3z01nxrkl";"Defender";"Fabián Andrés";"Torres Cuello";"1";NA;"1";"5";"1";"1";"1";"1";NA;NA;NA;"2";NA;NA;NA;NA;NA;NA;NA;TRUE;"9yqjhj9zgfyl38axyhnen927e";NA;NA;NA;NA;NA;NA;NA
"12";"1";NA;NA;NA;"14";"1";"1";"90";"8";"5";"2018-11-23Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"be2mkt8tl6bgnm4nyzb5l02c5";"Defender";"Manuel Elías";"Fernández Guzmán";NA;"1";"1";NA;NA;NA;"1";NA;"1";NA;NA;"2";"1";NA;NA;NA;NA;NA;NA;TRUE;"9yqjhj9zgfyl38axyhnen927e";NA;NA;NA;NA;NA;NA;NA
"16";"1";NA;NA;NA;"22";"1";"1";"90";"4";"6";"2018-11-23Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"epvt3nij5xk960wrr4omk2f2t";"Defender";"Carlos Alfredo";"Labrin Candia";"1";"1";NA;"3";"2";NA;"1";NA;NA;NA;NA;"1";"1";NA;NA;NA;NA;NA;NA;TRUE;"9yqjhj9zgfyl38axyhnen927e";NA;NA;NA;NA;NA;NA;NA
"16";"1";NA;NA;NA;"26";"1";"1";"68";"2";"3";"2018-11-23Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"8i2jufhd0hz8i0n88p82sk0r9";"Midfielder";"Matías Daniel";"Campos Toro";"1";"1";NA;"3";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;TRUE;"9yqjhj9zgfyl38axyhnen927e";NA;NA;NA;NA;NA;NA;NA
"21";"1";NA;NA;NA;"30";"1";"1";"77";"1";"8";"2018-11-23Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"8vrkluulimwjtncia6xiui5zp";"Midfielder";"Luis Alberto";"Cabrera Figueroa";NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;TRUE;"9yqjhj9zgfyl38axyhnen927e";NA;NA;NA;NA;NA;NA;NA
"23";"1";NA;NA;NA;"30";"1";"1";"90";"2";"7";"2018-11-23Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"4yvk7o42utehkf7nki39zafo5";"Midfielder";"Iván Gonzalo";"Vásquez Quilodrán";"1";NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;"2";NA;NA;NA;NA;NA;NA;NA;TRUE;"9yqjhj9zgfyl38axyhnen927e";NA;NA;NA;NA;NA;NA;NA
"12";"1";NA;NA;NA;"20";"1";"1";"90";"2";"2";"2018-11-23Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"cv2m0fe5o4urquub6b5gm4t4a";"Midfielder";"Nicolás Esteban";"Fernández Muñoz";"4";"2";NA;"6";"4";NA;NA;NA;NA;NA;"2";"2";NA;"1";NA;NA;NA;NA;NA;TRUE;"9yqjhj9zgfyl38axyhnen927e";NA;NA;NA;NA;NA;NA;NA
"14";"1";NA;NA;NA;"16";"1";"1";"66";NA;"9";"2018-11-23Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"3i66iyijtz2p4xd7ngsc444ph";"Attacking Midfielder";"Ariel Elías";"Martínez Arce";NA;NA;NA;NA;NA;"1";"2";NA;NA;NA;"1";NA;"1";NA;"1";NA;"3";NA;NA;TRUE;"9yqjhj9zgfyl38axyhnen927e";NA;NA;NA;NA;NA;NA;NA
"19";"1";NA;NA;NA;"34";"1";"1";"90";NA;"11";"2018-11-23Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"bj3lt3rad9p93r4soac60f651";"Striker";"Ignacio Alejandro";"Jeraldino Jul";"3";"2";NA;NA;"4";"1";"1";"1";NA;"1";NA;"3";NA;NA;NA;"1";NA;NA;NA;TRUE;"9yqjhj9zgfyl38axyhnen927e";NA;"1";NA;NA;NA;NA;NA
"16";"1";NA;NA;NA;"22";"1";"1";"90";"1";"10";"2018-11-23Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"edzgrsne5h4lt5m2aex9s59t5";"Striker";"Sergio Henrique";"Santos Gomes";"1";"5";NA;NA;"1";"2";"6";"1";NA;"3";"2";"6";"2";NA;NA;NA;NA;NA;NA;TRUE;"9yqjhj9zgfyl38axyhnen927e";"2";"1";NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2018-11-23Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"4ry41imxbur7epfo5igydybpx";"Substitute";"Osvaldo Javier";"Bosso Torres";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;TRUE;"9yqjhj9zgfyl38axyhnen927e";NA;NA;NA;NA;NA;NA;NA
"6";NA;NA;NA;NA;"8";NA;NA;"24";"1";"0";"2018-11-23Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"a1ifm5kvocs5jjejgg3tkp1x";"Substitute";"Darío";"Bottinelli";NA;"1";NA;NA;NA;"1";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1";"2";NA;"1";TRUE;"9yqjhj9zgfyl38axyhnen927e";NA;NA;NA;NA;NA;NA;NA
"5";NA;NA;NA;NA;"7";NA;NA;"22";"2";"0";"2018-11-23Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"9j5hkfilerc8upy6zl1gpucph";"Substitute";"Nicolás Ignacio";"Crovetto Aqueveque";NA;"1";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";TRUE;"9yqjhj9zgfyl38axyhnen927e";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2018-11-23Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"ap0mzingo9tmhjmr4qe86ww6h";"Substitute";"Jonathan Carlos";"Herrera";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;TRUE;"9yqjhj9zgfyl38axyhnen927e";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2018-11-23Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"bn04vhl78qfknkl5fk84rkuz9";"Substitute";"Juan Andrés";"Leiva Mieres";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;TRUE;"9yqjhj9zgfyl38axyhnen927e";NA;NA;NA;NA;NA;NA;NA
"5";NA;NA;NA;NA;"7";NA;NA;"13";NA;"0";"2018-11-23Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"54f193zgclx6i6xsp44abct0p";"Substitute";"René Antonio";"Melendez Plaza";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;"1";TRUE;"9yqjhj9zgfyl38axyhnen927e";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2018-11-23Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"5hxyo9kveiykjyewoat4q7yl1";"Substitute";"Eryin Alexis";"Sanhueza Mora";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;TRUE;"9yqjhj9zgfyl38axyhnen927e";NA;NA;NA;NA;NA;NA;NA
"20";"4";"2";"2";"7";"27";"1";"2";"90";"1";"1";"2018-11-23Z";"bd1veyn5g4r8zbaquf8b8pksp";"Curicó Unido";"amy1rmsc4xk6p78a8utq2j74l";"Goalkeeper";"Jorge Luis";"Deschamps";NA;"1";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;"9yqjhj9zgfyl38axyhnen927e";NA;NA;NA;NA;NA;NA;NA
"17";"2";NA;NA;NA;"22";"1";"1";"71";NA;"3";"2018-11-23Z";"bd1veyn5g4r8zbaquf8b8pksp";"Curicó Unido";"ee63ml1m0knte1es8dpm2snze";"Defender";"Kennet";"Lara";NA;NA;"2";"9";NA;NA;"1";NA;NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;FALSE;"9yqjhj9zgfyl38axyhnen927e";NA;NA;NA;NA;NA;NA;NA
"18";"3";NA;NA;NA;"30";"1";"1";"89";"1";"6";"2018-11-23Z";"bd1veyn5g4r8zbaquf8b8pksp";"Curicó Unido";"euryh6bnrhjnutuhr0zblycid";"Defender";"Daniel Alejandro";"Franco";"1";"2";NA;"1";"2";NA;NA;NA;"2";NA;NA;"5";NA;"1";NA;NA;NA;NA;NA;FALSE;"9yqjhj9zgfyl38axyhnen927e";NA;NA;"1";NA;NA;NA;NA
"21";"4";NA;NA;NA;"32";"1";"2";"90";"4";"5";"2018-11-23Z";"bd1veyn5g4r8zbaquf8b8pksp";"Curicó Unido";"62wv8ih6784cp0xhng2yv6b4l";"Defender";"Franco";"Bechtholdt Chervaz";"1";"1";"2";"1";"2";NA;NA;NA;NA;NA;NA;"2";NA;"1";NA;NA;NA;NA;NA;FALSE;"9yqjhj9zgfyl38axyhnen927e";NA;NA;NA;NA;NA;NA;NA
"40";"4";NA;NA;NA;"54";"1";"2";"90";"2";"2";"2018-11-23Z";"bd1veyn5g4r8zbaquf8b8pksp";"Curicó Unido";"3yugvnpaflo89btdo3yw5eklx";"Defender";"Yerson Flavio";"Opazo Riquelme";"1";"2";NA;"12";"1";NA;NA;NA;NA;NA;"1";"1";NA;NA;NA;NA;"1";NA;NA;FALSE;"9yqjhj9zgfyl38axyhnen927e";NA;NA;NA;NA;NA;NA;NA
