"accuratePass" "penaltyConceded" "goalsConceded" "penaltyFaced" "goalKicks" "totalPass" "gameStarted" "penGoalsConceded" "minsPlayed" "fouls" "totalClearance" "formationPlace" "fecha" "idequipo" "equipo" "idjugador" "position" "wonTackle" "totalThrows" "totalTackle" "wonCorners" "yellowCard" "totalScoringAtt" "shotOffTarget" "wasFouled" "lostCorners" "totalOffside" "totalSubOff" "cornerTaken" "ontargetScoringAtt" "blockedScoringAtt" "stats[2, ]" "totalSubOn" "redCard" "local" "id_partido" "saves" "cleanSheet" "goals" "penaltyWon" "goalAssist" "secondYellow" "penaltySave" "ownGoals"
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-20Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "4o0dqjnb32dx30ycdkdqpyew9" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "92uw9s8gr42b2bmdsnjk1wquh" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-20Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "93hzskxnzinzvkv2l3ed09gq1" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "92uw9s8gr42b2bmdsnjk1wquh" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-20Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "d65lxwdwt2r08ozlv3jzzehux" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "92uw9s8gr42b2bmdsnjk1wquh" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-20Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "4uird4b63fa9biw28s6asegvd" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "92uw9s8gr42b2bmdsnjk1wquh" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-20Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "e9lil2lavailtzer051ajb9pl" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "92uw9s8gr42b2bmdsnjk1wquh" NA NA NA NA NA NA NA NA
"29" NA NA NA "17" "42" "1" NA "90" NA NA "1" "2017-05-20Z" "cjswvnp4xja7dif9gz2op9r4d" "England U20" "7rnd1uiknmho0s7a0objtnlcl" "Goalkeeper" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE "92uw9s8gr42b2bmdsnjk1wquh" "5" "1" NA NA NA NA NA NA
"15" NA NA NA NA "18" "1" NA "90" "1" "5" "3" "2017-05-20Z" "cjswvnp4xja7dif9gz2op9r4d" "England U20" "dib41xkr8bhe8evdateuhtas5" "Defender" NA "9" "1" NA NA NA NA "1" "1" NA NA NA NA NA NA NA NA FALSE "92uw9s8gr42b2bmdsnjk1wquh" NA "1" NA NA NA NA NA NA
"28" NA NA NA NA "29" "1" NA "90" NA "6" "6" "2017-05-20Z" "cjswvnp4xja7dif9gz2op9r4d" "England U20" "5r5i2cbecv1046hj6omacsvyt" "Defender" "3" NA "3" NA NA NA NA "1" "1" NA NA NA NA NA NA NA NA FALSE "92uw9s8gr42b2bmdsnjk1wquh" NA "1" NA NA NA NA NA NA
"33" NA NA NA NA "39" "1" NA "90" NA "7" "5" "2017-05-20Z" "cjswvnp4xja7dif9gz2op9r4d" "England U20" "3sezchmdtivxl4kusvgc6j7x1" "Defender" "1" NA "2" NA NA NA NA "1" "3" NA NA NA NA NA NA NA NA FALSE "92uw9s8gr42b2bmdsnjk1wquh" NA "1" NA NA NA NA NA NA
"17" NA NA NA NA "26" "1" NA "90" "1" "5" "2" "2017-05-20Z" "cjswvnp4xja7dif9gz2op9r4d" "England U20" "drv9wksjusdgp1np315rokzit" "Defender" "5" "9" "6" NA NA NA NA "1" "3" NA NA NA NA NA NA NA NA FALSE "92uw9s8gr42b2bmdsnjk1wquh" NA "1" NA NA NA NA NA NA
