"accuratePass" "penaltyConceded" "goalsConceded" "penaltyFaced" "goalKicks" "totalPass" "gameStarted" "penGoalsConceded" "minsPlayed" "fouls" "totalClearance" "formationPlace" "fecha" "idequipo" "equipo" "idjugador" "position" "wonTackle" "totalThrows" "totalTackle" "wonCorners" "yellowCard" "totalScoringAtt" "shotOffTarget" "wasFouled" "lostCorners" "totalOffside" "totalSubOff" "cornerTaken" "ontargetScoringAtt" "blockedScoringAtt" "stats[2, ]" "totalSubOn" "redCard" "local" "id_partido" "saves" "cleanSheet" "goals" "penaltyWon" "goalAssist" "secondYellow" "penaltySave" "ownGoals"
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-26Z" "2csfzqowk5wdjyufr7jam8txd" "Korea Republic U20" "atl6n214t72qlxmmys93mwtt5" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "zs9zlotou9fp68vxl7mjz27d" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-26Z" "2csfzqowk5wdjyufr7jam8txd" "Korea Republic U20" "cyp54741s3j0xpkfoezl86cix" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "zs9zlotou9fp68vxl7mjz27d" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-26Z" "2csfzqowk5wdjyufr7jam8txd" "Korea Republic U20" "3eaykdhf310kukq5s0zqc61gp" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "zs9zlotou9fp68vxl7mjz27d" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-26Z" "2csfzqowk5wdjyufr7jam8txd" "Korea Republic U20" "3e0yjjfv0f1mbdmjglvx87hm1" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "zs9zlotou9fp68vxl7mjz27d" NA NA NA NA NA NA NA NA
"20" NA NA NA NA "24" NA NA "33" NA NA "0" "2017-05-26Z" "2csfzqowk5wdjyufr7jam8txd" "Korea Republic U20" "un6pufmg35lihl29pqplevop" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1" NA FALSE "zs9zlotou9fp68vxl7mjz27d" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-26Z" "2csfzqowk5wdjyufr7jam8txd" "Korea Republic U20" "e9a5dm1gjizkuot7nnen5cwkp" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "zs9zlotou9fp68vxl7mjz27d" NA NA NA NA NA NA NA NA
"5" NA NA NA NA "7" NA NA "33" NA NA "0" "2017-05-26Z" "2csfzqowk5wdjyufr7jam8txd" "Korea Republic U20" "f4fwdqvrdwx1fq70hm6s7db6x" "Substitute" "1" NA "2" "1" NA "2" NA "1" NA NA NA "2" NA "2" NA "1" NA FALSE "zs9zlotou9fp68vxl7mjz27d" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-26Z" "2csfzqowk5wdjyufr7jam8txd" "Korea Republic U20" "d4hi7xn6qz6l79y64djr4pwix" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "zs9zlotou9fp68vxl7mjz27d" NA NA NA NA NA NA NA NA
"4" NA NA NA NA "7" NA NA "11" NA NA "0" "2017-05-26Z" "2csfzqowk5wdjyufr7jam8txd" "Korea Republic U20" "cc5c5mmpywxpgrb33oztcdgid" "Substitute" "1" NA "1" "1" NA NA NA "1" NA NA NA "1" NA NA NA "1" NA FALSE "zs9zlotou9fp68vxl7mjz27d" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-26Z" "2csfzqowk5wdjyufr7jam8txd" "Korea Republic U20" "acy4x2ahhxzktjx0djprt16nd" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "zs9zlotou9fp68vxl7mjz27d" NA NA NA NA NA NA NA NA
"14" NA NA NA "3" "26" "1" NA "90" NA NA "1" "2017-05-22Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "f0e5posm9z0oma2t3u9k1qy95" "Goalkeeper" NA NA NA NA NA NA NA "2" NA NA NA NA NA NA NA NA NA TRUE "1hht0phezylck12cl7msgrhex" "2" "1" NA NA NA NA NA NA
"42" NA NA NA NA "53" "1" NA "90" NA NA "3" "2017-05-22Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "d92v6n4pf20eepvli92lqau39" "Defender" "1" "16" "1" NA NA NA NA "1" NA NA NA NA NA NA NA NA NA TRUE "1hht0phezylck12cl7msgrhex" NA "1" NA NA NA NA NA NA
"27" NA NA NA NA "36" "1" NA "90" "1" "1" "6" "2017-05-22Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "chn2v9j6dqmuz2haoiuulbd91" "Defender" "2" NA "2" NA NA "1" "1" "1" NA NA NA NA NA NA NA NA NA TRUE "1hht0phezylck12cl7msgrhex" NA "1" NA NA NA NA NA NA
"33" NA NA NA NA "41" "1" NA "90" NA "7" "5" "2017-05-22Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "d0ir0lbmkzvkvgjvry5l9z2l1" "Defender" "2" NA "2" "1" NA "2" NA NA NA NA NA NA "1" "1" NA NA NA TRUE "1hht0phezylck12cl7msgrhex" NA "1" NA NA NA NA NA NA
"22" NA NA NA NA "28" "1" NA "90" NA "4" "2" "2017-05-22Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "ci7xmcavkdlllw80bmaqhpvit" "Defender" "2" "16" "4" NA NA NA NA "1" NA NA NA NA NA NA NA NA NA TRUE "1hht0phezylck12cl7msgrhex" NA "1" NA NA NA NA NA NA
"42" NA NA NA NA "49" "1" NA "90" "2" "1" "4" "2017-05-22Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "eg9xhi6wfp1duf01pcsn8vfmd" "Defensive Midfielder" "2" NA "2" NA NA "1" "1" "1" NA NA NA NA NA NA NA NA NA TRUE "1hht0phezylck12cl7msgrhex" NA "1" NA NA NA NA NA NA
"18" NA NA NA NA "28" "1" NA "73" NA NA "11" "2017-05-22Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "66nvc8a4kd3cyeyj3i474cudx" "Midfielder" NA NA "1" "1" NA NA NA "2" NA NA "1" NA NA NA NA NA NA TRUE "1hht0phezylck12cl7msgrhex" NA NA NA NA NA NA NA NA
"43" NA NA NA NA "52" "1" NA "86" NA NA "10" "2017-05-22Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "bt2h27b7sfmsa5w6tnfp7lw4p" "Midfielder" "4" NA "4" "3" NA "2" "1" "3" NA NA "1" "5" "1" NA NA NA NA TRUE "1hht0phezylck12cl7msgrhex" NA NA "1" NA NA NA NA NA
"29" NA NA NA NA "39" "1" NA "90" NA "2" "8" "2017-05-22Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "9iwkidg6lykej8vrhfz6z4ct1" "Midfielder" "2" NA "3" "1" NA "1" "1" NA NA NA NA NA NA NA NA NA NA TRUE "1hht0phezylck12cl7msgrhex" NA "1" NA NA "1" NA NA NA
"21" NA NA NA NA "23" "1" NA "90" "4" "1" "7" "2017-05-22Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "9yfnfwqog4y572aoe2iztnbv9" "Midfielder" "1" NA "1" NA NA "2" "2" "3" "1" "1" NA NA NA NA NA NA NA TRUE "1hht0phezylck12cl7msgrhex" NA "1" NA NA NA NA NA NA
"15" NA NA NA NA "16" "1" NA "66" "3" NA "9" "2017-05-22Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "cxcysifvtn49imj2zs6rdtk9h" "Striker" NA NA NA NA "1" "2" "1" "4" NA NA "1" NA "1" NA NA NA NA TRUE "1hht0phezylck12cl7msgrhex" NA NA "1" NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-22Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "cgqunmh8aw465fna15rdve8d1" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "1hht0phezylck12cl7msgrhex" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-22Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "5danec4f4h9msnkt24l2ze609" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "1hht0phezylck12cl7msgrhex" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-22Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "ch3og6hfa6hlsdjbpalppfxlh" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "1hht0phezylck12cl7msgrhex" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-22Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "5w9g9gfeucuccwxd09o62f84p" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "1hht0phezylck12cl7msgrhex" NA NA NA NA NA NA NA NA
"4" NA NA NA NA "4" NA NA "4" NA NA "0" "2017-05-22Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "1j0a3ml1zglc9s31yentfckb9" "Substitute" NA NA NA NA NA "1" NA "1" NA NA NA NA "1" NA NA "1" NA TRUE "1hht0phezylck12cl7msgrhex" NA NA NA NA NA NA NA NA
"10" NA NA NA NA "11" NA NA "17" "1" NA "0" "2017-05-22Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "cih5wxie4m0g0oo4ejzdcgyxh" "Substitute" NA NA "1" NA "1" NA NA NA NA NA NA "1" NA NA NA "1" NA TRUE "1hht0phezylck12cl7msgrhex" NA NA NA NA "1" NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-22Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "doctoq9o6be1yap6je75w0vrp" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "1hht0phezylck12cl7msgrhex" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-22Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "3red5hsu42hgfe7nyqq00k5" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "1hht0phezylck12cl7msgrhex" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-22Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "cb6w7n7n1eh9huwzyzvgmdxih" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "1hht0phezylck12cl7msgrhex" NA NA NA NA NA NA NA NA
"7" NA NA NA NA "8" NA NA "24" "1" NA "0" "2017-05-22Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "9b7iei751ersl6ny0o0k8gn3d" "Substitute" NA NA NA NA NA "1" NA NA NA NA NA NA "1" NA NA "1" NA TRUE "1hht0phezylck12cl7msgrhex" NA NA "1" NA NA NA NA NA
"16" NA "3" NA "8" "35" "1" NA "90" NA "1" "1" "2017-05-22Z" "44v7p7fl9l0ygyb1a768uwcpj" "Honduras U20" "3nr98kjcuzuqn5y73k6ayrfft" "Goalkeeper" NA NA NA NA NA NA NA "2" "1" NA NA NA NA NA NA NA NA FALSE "1hht0phezylck12cl7msgrhex" "2" NA NA NA NA NA NA NA
"26" NA "3" NA NA "31" "1" NA "90" "3" "5" "3" "2017-05-22Z" "44v7p7fl9l0ygyb1a768uwcpj" "Honduras U20" "f3sg4uf5o93fju935tixltgbt" "Defender" NA "9" "1" NA NA NA NA "1" "1" NA NA NA NA NA NA NA NA FALSE "1hht0phezylck12cl7msgrhex" NA NA NA NA NA NA NA NA
"24" NA "3" NA NA "30" "1" NA "90" NA "6" "6" "2017-05-22Z" "44v7p7fl9l0ygyb1a768uwcpj" "Honduras U20" "46ax1wehohnsnxef6nk4y3uuh" "Defender" "2" "1" "3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE "1hht0phezylck12cl7msgrhex" NA NA NA NA NA NA NA NA
"31" NA "3" NA NA "34" "1" NA "90" "2" "4" "5" "2017-05-22Z" "44v7p7fl9l0ygyb1a768uwcpj" "Honduras U20" "c4ccgu6tldo279neojnyof6x" "Defender" "1" NA "1" NA NA NA NA "3" "1" NA NA NA NA NA NA NA NA FALSE "1hht0phezylck12cl7msgrhex" NA NA NA NA NA NA NA NA
"31" NA "3" NA NA "48" "1" NA "90" "1" NA "2" "2017-05-22Z" "44v7p7fl9l0ygyb1a768uwcpj" "Honduras U20" "9glbw5y41hr7q7zat4rfkw1rd" "Defender" "4" "11" "6" NA NA NA NA NA "3" NA NA NA NA NA NA NA NA FALSE "1hht0phezylck12cl7msgrhex" NA NA NA NA NA NA NA NA
"6" NA "3" NA NA "10" "1" NA "85" "1" "1" "11" "2017-05-22Z" "44v7p7fl9l0ygyb1a768uwcpj" "Honduras U20" "639ayrjrhaludmaxcp6m1zlk9" "Midfielder" "1" "1" "1" NA "1" NA NA NA NA "1" "1" NA NA NA NA NA NA FALSE "1hht0phezylck12cl7msgrhex" NA NA NA NA NA NA NA NA
"46" NA "3" NA NA "60" "1" NA "90" "2" "1" "8" "2017-05-22Z" "44v7p7fl9l0ygyb1a768uwcpj" "Honduras U20" "5g2l20pbm2nbwpi679o7fb9pl" "Midfielder" "4" NA "5" "1" NA "2" "1" NA NA NA NA "1" NA "1" NA NA NA FALSE "1hht0phezylck12cl7msgrhex" NA NA NA NA NA NA NA NA
"13" NA "2" NA NA "17" "1" NA "45" "3" NA "4" "2017-05-22Z" "44v7p7fl9l0ygyb1a768uwcpj" "Honduras U20" "a28sfjoa32mglh9835icrkkq1" "Midfielder" "2" NA "3" NA NA NA NA NA NA NA "1" NA NA NA NA NA NA FALSE "1hht0phezylck12cl7msgrhex" NA NA NA NA NA NA NA NA
"18" NA "2" NA NA "20" "1" NA "69" "1" NA "7" "2017-05-22Z" "44v7p7fl9l0ygyb1a768uwcpj" "Honduras U20" "6evjd54wciwypwvmfsle21m95" "Midfielder" NA "1" NA NA NA NA NA NA NA "1" "1" NA NA NA NA NA NA FALSE "1hht0phezylck12cl7msgrhex" NA NA NA NA NA NA NA NA
"25" NA "3" NA NA "32" "1" NA "90" "2" NA "9" "2017-05-22Z" "44v7p7fl9l0ygyb1a768uwcpj" "Honduras U20" "f1gj1qng7x6nxfi8lbxa7tvpx" "Striker" "3" "1" "3" NA NA "1" NA "3" NA NA NA NA "1" NA NA NA NA FALSE "1hht0phezylck12cl7msgrhex" NA NA NA NA NA NA NA NA
"20" NA "3" NA NA "22" "1" NA "90" "1" NA "10" "2017-05-22Z" "44v7p7fl9l0ygyb1a768uwcpj" "Honduras U20" "dfws3ekgoetfnecgzurcf0tlh" "Striker" "1" NA "1" NA NA "3" "1" NA NA NA NA NA "1" "1" NA NA NA FALSE "1hht0phezylck12cl7msgrhex" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-22Z" "44v7p7fl9l0ygyb1a768uwcpj" "Honduras U20" "a9sutl2y3h4zqucketu2kvw89" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "1hht0phezylck12cl7msgrhex" NA NA NA NA NA NA NA NA
"2" NA NA NA NA "2" NA NA "5" "2" NA "0" "2017-05-22Z" "44v7p7fl9l0ygyb1a768uwcpj" "Honduras U20" "8nyxt83k9gnzkp44mx63sx23t" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1" NA FALSE "1hht0phezylck12cl7msgrhex" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-22Z" "44v7p7fl9l0ygyb1a768uwcpj" "Honduras U20" "6ymyojdvd1884hqdhoz6hbh79" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "1hht0phezylck12cl7msgrhex" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-22Z" "44v7p7fl9l0ygyb1a768uwcpj" "Honduras U20" "7y99n40f1apu2o75bb3ex01k9" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "1hht0phezylck12cl7msgrhex" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-22Z" "44v7p7fl9l0ygyb1a768uwcpj" "Honduras U20" "32lbon05vy6wvb86v48mrtnu1" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "1hht0phezylck12cl7msgrhex" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-22Z" "44v7p7fl9l0ygyb1a768uwcpj" "Honduras U20" "9ddmr0sv8ovgvijbk21mxy3u1" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "1hht0phezylck12cl7msgrhex" NA NA NA NA NA NA NA NA
"31" NA "1" NA NA "38" NA NA "45" NA "1" "0" "2017-05-22Z" "44v7p7fl9l0ygyb1a768uwcpj" "Honduras U20" "4nz7csxo318r5d0uac8vnkvs9" "Substitute" NA NA NA NA NA "1" NA NA NA NA NA NA NA "1" NA "1" NA FALSE "1hht0phezylck12cl7msgrhex" NA NA NA NA NA NA NA NA
"4" NA "1" NA NA "4" NA NA "21" "1" NA "0" "2017-05-22Z" "44v7p7fl9l0ygyb1a768uwcpj" "Honduras U20" "8xbfyaj130sxt7q4oozxzk5pl" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1" NA FALSE "1hht0phezylck12cl7msgrhex" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-22Z" "44v7p7fl9l0ygyb1a768uwcpj" "Honduras U20" "a5aaidj34qjs9rbtud4ktxwq1" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "1hht0phezylck12cl7msgrhex" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-22Z" "44v7p7fl9l0ygyb1a768uwcpj" "Honduras U20" "eiet0ce0mo3ti61es30e7sw6h" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "1hht0phezylck12cl7msgrhex" NA NA NA NA NA NA NA NA
"17" NA "2" NA "9" "18" "1" NA "90" NA "1" "1" "2017-06-01Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "f0e5posm9z0oma2t3u9k1qy95" "Goalkeeper" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA TRUE "2qf67xjeziporbs1zjz1gfs9" "2" NA NA NA NA NA NA NA
"29" NA "2" NA NA "35" "1" NA "90" "1" "2" "3" "2017-06-01Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "5w9g9gfeucuccwxd09o62f84p" "Defender" "3" "8" "4" NA NA NA NA NA NA NA NA NA NA NA NA NA NA TRUE "2qf67xjeziporbs1zjz1gfs9" NA NA NA NA NA NA NA NA
"35" NA "2" NA NA "44" "1" NA "66" NA "2" "6" "2017-06-01Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "chn2v9j6dqmuz2haoiuulbd91" "Defender" NA NA NA NA NA NA NA NA NA NA "1" NA NA NA NA NA NA TRUE "2qf67xjeziporbs1zjz1gfs9" NA NA NA NA NA NA NA NA
"55" NA "2" NA NA "66" "1" NA "90" "1" "2" "5" "2017-06-01Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "d0ir0lbmkzvkvgjvry5l9z2l1" "Defender" "1" NA "1" "1" NA "2" "1" NA NA NA NA NA NA "1" NA NA NA TRUE "2qf67xjeziporbs1zjz1gfs9" NA NA NA NA NA NA NA NA
"40" NA "2" NA NA "51" "1" NA "90" NA "2" "2" "2017-06-01Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "ci7xmcavkdlllw80bmaqhpvit" "Defender" "3" "9" "3" NA NA "1" NA NA "1" NA NA NA "1" NA NA NA NA TRUE "2qf67xjeziporbs1zjz1gfs9" NA NA NA NA NA NA NA NA
"26" NA "2" NA NA "31" "1" NA "90" "1" "1" "4" "2017-06-01Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "eg9xhi6wfp1duf01pcsn8vfmd" "Defensive Midfielder" NA NA NA NA NA "3" "2" "2" "1" NA NA NA NA "1" NA NA NA TRUE "2qf67xjeziporbs1zjz1gfs9" NA NA NA NA NA NA NA NA
"26" NA "2" NA NA "33" "1" NA "90" NA NA "11" "2017-06-01Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "doctoq9o6be1yap6je75w0vrp" "Midfielder" "1" NA "1" "2" NA "4" "2" "1" NA NA NA NA NA "2" NA NA NA TRUE "2qf67xjeziporbs1zjz1gfs9" NA NA NA NA NA NA NA NA
"50" NA "2" NA NA "54" "1" NA "90" "1" NA "10" "2017-06-01Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "bt2h27b7sfmsa5w6tnfp7lw4p" "Midfielder" NA "2" "1" NA "1" "3" "1" "1" NA NA NA "6" NA "2" NA NA NA TRUE "2qf67xjeziporbs1zjz1gfs9" NA NA NA "1" NA NA NA NA
"47" NA "2" NA NA "54" "1" NA "70" "2" "2" "8" "2017-06-01Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "cih5wxie4m0g0oo4ejzdcgyxh" "Midfielder" "1" NA "1" NA NA "1" NA "1" NA NA "1" "2" NA "1" NA NA NA TRUE "2qf67xjeziporbs1zjz1gfs9" NA NA NA NA NA NA NA NA
"17" NA "2" NA NA "20" "1" NA "81" "1" NA "7" "2017-06-01Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "9yfnfwqog4y572aoe2iztnbv9" "Midfielder" NA "1" NA "1" NA "4" "3" NA NA NA "1" NA "1" NA NA NA NA TRUE "2qf67xjeziporbs1zjz1gfs9" NA NA NA NA NA NA NA NA
"17" NA "2" NA NA "18" "1" NA "90" "3" NA "9" "2017-06-01Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "cxcysifvtn49imj2zs6rdtk9h" "Striker" NA "2" NA "1" NA "6" "2" NA NA "2" NA NA "4" NA NA NA NA TRUE "2qf67xjeziporbs1zjz1gfs9" NA NA "1" NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-06-01Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "cgqunmh8aw465fna15rdve8d1" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "2qf67xjeziporbs1zjz1gfs9" NA NA NA NA NA NA NA NA
"12" NA NA NA NA "12" NA NA "24" NA NA "0" "2017-06-01Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "d92v6n4pf20eepvli92lqau39" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1" NA TRUE "2qf67xjeziporbs1zjz1gfs9" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-06-01Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "5danec4f4h9msnkt24l2ze609" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "2qf67xjeziporbs1zjz1gfs9" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-06-01Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "9iwkidg6lykej8vrhfz6z4ct1" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "2qf67xjeziporbs1zjz1gfs9" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-06-01Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "ch3og6hfa6hlsdjbpalppfxlh" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "2qf67xjeziporbs1zjz1gfs9" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-06-01Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "1j0a3ml1zglc9s31yentfckb9" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "2qf67xjeziporbs1zjz1gfs9" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-06-01Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "3red5hsu42hgfe7nyqq00k5" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "2qf67xjeziporbs1zjz1gfs9" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-06-01Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "cb6w7n7n1eh9huwzyzvgmdxih" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "2qf67xjeziporbs1zjz1gfs9" NA NA NA NA NA NA NA NA
"2" NA NA NA NA "2" NA NA "9" NA NA "0" "2017-06-01Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "9b7iei751ersl6ny0o0k8gn3d" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1" NA TRUE "2qf67xjeziporbs1zjz1gfs9" NA NA NA NA NA NA NA NA
"8" NA NA NA NA "9" NA NA "20" "1" NA "0" "2017-06-01Z" "5hpwmngudtgits98k5ce2ckjh" "France U20" "66nvc8a4kd3cyeyj3i474cudx" "Substitute" NA NA "1" "3" NA "1" "1" NA NA NA NA NA NA NA NA "1" NA TRUE "2qf67xjeziporbs1zjz1gfs9" NA NA NA NA NA NA NA NA
"43" NA "1" "1" "14" "50" "1" "1" "90" NA NA "1" "2017-06-01Z" "6x786yaxantdgjq0l4a1gc1v" "Italy U20" "afh7eoc7lj1kdnbifljlokxxx" "Goalkeeper" NA NA NA NA NA NA NA NA "2" NA NA NA NA NA NA NA NA FALSE "2qf67xjeziporbs1zjz1gfs9" "5" NA NA NA NA NA NA NA
"21" NA "1" NA NA "33" "1" "1" "90" NA "6" "3" "2017-06-01Z" "6x786yaxantdgjq0l4a1gc1v" "Italy U20" "90pjbz2aq8vz4qapqu1yt2ynd" "Defender" NA "8" "2" NA NA NA NA "1" "1" NA NA NA NA NA NA NA NA FALSE "2qf67xjeziporbs1zjz1gfs9" NA NA NA NA "1" NA NA NA
"71" "1" "1" NA NA "76" "1" "1" "90" "1" "5" "6" "2017-06-01Z" "6x786yaxantdgjq0l4a1gc1v" "Italy U20" "agwd1hz3r71laxas0j3kr1mtx" "Defender" "3" NA "4" NA NA NA NA "1" "1" NA NA NA NA NA NA NA NA FALSE "2qf67xjeziporbs1zjz1gfs9" NA NA NA NA NA NA NA NA
"68" NA "1" NA NA "72" "1" "1" "90" NA "2" "5" "2017-06-01Z" "6x786yaxantdgjq0l4a1gc1v" "Italy U20" "61c395xuimpxo2439p8mt3y6t" "Defender" "1" NA "1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE "2qf67xjeziporbs1zjz1gfs9" NA NA NA NA NA NA NA NA
"14" NA "1" NA NA "23" "1" "1" "89" "1" "1" "2" "2017-06-01Z" "6x786yaxantdgjq0l4a1gc1v" "Italy U20" "4dw3ryemjrxvc7zc2e05k9adx" "Defender" "1" "9" "1" "2" NA NA NA NA "2" NA "1" NA NA NA NA NA NA FALSE "2qf67xjeziporbs1zjz1gfs9" NA NA NA NA NA NA NA NA
