"accuratePass";"goalsConceded";"saves";"penaltyFaced";"goalKicks";"totalPass";"gameStarted";"penGoalsConceded";"minsPlayed";"totalClearance";"formationPlace";"fecha";"idequipo";"equipo";"idjugador";"position";"nombres";"apellidos";"wonTackle";"lostCorners";"totalThrows";"totalTackle";"fouls";"wasFouled";"penaltyConceded";"secondYellow";"redCard";"totalScoringAtt";"totalSubOff";"totalOffside";"shotOffTarget";"yellowCard";"cornerTaken";"blockedScoringAtt";"wonCorners";"totalSubOn";"subposicion";"stats[2, ]";"local";"id_partido";"cleanSheet";"ontargetScoringAtt";"goals";"goalAssist";"penaltySave";"penaltyWon";"ownGoals"
"9";"3";"3";"2";"8";"19";"1";"2";"90";"1";"1";"2019-02-18Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"276g6pfpah0p1dva0bfi18hqt";"Goalkeeper";"Joaquín Emanuel";"Muñoz Almarza";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
"25";"3";NA;NA;NA;"31";"1";"2";"90";"5";"4";"2019-02-18Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"abb1eu1hpcrox97w3z01nxrkl";"Defender";"Fabián Andrés";"Torres Cuello";"3";"1";"3";"3";"4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
"14";"1";NA;NA;NA;"17";"1";"1";"66";"9";"5";"2019-02-18Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"be2mkt8tl6bgnm4nyzb5l02c5";"Defender";"Manuel Elías";"Fernández Guzmán";NA;"1";NA;NA;"1";"2";"1";"1";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
"33";"3";NA;NA;NA;"42";"1";"2";"90";"5";"6";"2019-02-18Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"epvt3nij5xk960wrr4omk2f2t";"Defender";"Carlos Alfredo";"Labrin Candia";"4";NA;"3";"6";"4";"2";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
"13";"2";NA;NA;NA;"24";"1";"2";"70";"3";"3";"2019-02-18Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"9j5hkfilerc8upy6zl1gpucph";"Midfielder";"Nicolás Ignacio";"Crovetto Aqueveque";"2";NA;"6";"2";NA;NA;NA;NA;NA;"1";"1";"1";"1";NA;NA;NA;NA;NA;NA;NA;TRUE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
"43";"3";NA;NA;NA;"61";"1";"2";"90";"1";"8";"2019-02-18Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"23rxggjnk33ensvafo1ebfdg5";"Midfielder";"Diego Ignacio";"Torres Quintana";"1";NA;"4";"1";"2";"1";NA;NA;NA;"1";NA;NA;"1";"1";"1";NA;NA;NA;NA;NA;TRUE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
"44";"3";NA;NA;NA;"55";"1";"2";"90";NA;"7";"2019-02-18Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"8vrkluulimwjtncia6xiui5zp";"Midfielder";"Luis Alberto";"Cabrera Figueroa";"3";NA;"1";"3";"3";"1";NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;TRUE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
"5";"1";NA;NA;NA;"9";"1";"1";"45";"1";"2";"2019-02-18Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"cv2m0fe5o4urquub6b5gm4t4a";"Midfielder";"Nicolás Esteban";"Fernández Muñoz";NA;NA;"3";NA;"1";NA;NA;NA;NA;"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;TRUE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
"19";"3";NA;NA;NA;"27";"1";"2";"90";NA;"9";"2019-02-18Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"3i66iyijtz2p4xd7ngsc444ph";"Attacking Midfielder";"Ariel Elías";"Martínez Arce";NA;NA;"1";"1";"1";NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";"2";NA;NA;NA;TRUE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
"12";"2";NA;NA;NA;"15";"1";"2";"83";NA;"11";"2019-02-18Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"f3tjqzh572x0hdklx5o2ue1g5";"Striker";"Leonardo Gabriel";"Rolón";NA;NA;"2";NA;"1";"1";NA;NA;NA;"2";"1";NA;"2";NA;NA;NA;NA;NA;NA;NA;TRUE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
"22";"3";NA;NA;NA;"31";"1";"2";"90";"1";"10";"2019-02-18Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"bj3lt3rad9p93r4soac60f651";"Striker";"Ignacio Alejandro";"Jeraldino Jul";NA;NA;"1";"1";"1";"2";NA;NA;NA;"2";NA;NA;"1";NA;NA;"1";NA;NA;NA;NA;TRUE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
"5";"1";NA;NA;NA;"6";NA;NA;"7";NA;"0";"2019-02-18Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"8bs8qz265kj9bhn8lx09cifvt";"Substitute";"Ricardo Antonio";"Escobar Acuña";NA;NA;"2";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";"Midfielder";NA;TRUE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2019-02-18Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"brkd7vi8zwf9oc1xhncco4mei";"Substitute";"Bryan Jesús";"Figueroa De La Hoz";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Midfielder";"0";TRUE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
"14";"1";NA;NA;NA;"17";NA;NA;"20";NA;"0";"2019-02-18Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"4yrdgfx2ywrejye3jt3s3udw5";"Substitute";"Jorge Alexis";"Henríquez Neira";NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;"1";NA;NA;NA;NA;"1";"Midfielder";NA;TRUE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
"23";"2";NA;NA;NA;"26";NA;"1";"45";"1";"0";"2019-02-18Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"18pa8hde4d0jkbtpltej87tg5";"Substitute";"Iván Patricio";"Ledezma Ahumada";NA;NA;"1";NA;NA;"1";NA;NA;NA;"1";NA;NA;"1";NA;"1";NA;NA;"1";"Midfielder";NA;TRUE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2019-02-18Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"54f193zgclx6i6xsp44abct0p";"Substitute";"René Antonio";"Melendez Plaza";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Midfielder";"0";TRUE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2019-02-18Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"5hxyo9kveiykjyewoat4q7yl1";"Substitute";"Eryin Alexis";"Sanhueza Mora";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Goalkeeper";"0";TRUE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2019-02-18Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"4yvk7o42utehkf7nki39zafo5";"Substitute";"Iván Gonzalo";"Vásquez Quilodrán";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Midfielder";"0";TRUE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
"19";NA;NA;NA;"16";"28";"1";NA;"90";"1";"1";"2019-02-18Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"6qtuyvswb6peytlot7n61o7h1";"Goalkeeper";"Fernando Javier";"Hurtado Pérez";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;"ceoxcposkvoqax3zwkrlj7p7u";"1";NA;NA;NA;NA;NA;NA
"39";NA;NA;NA;NA;"47";"1";NA;"90";NA;"3";"2019-02-18Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"c3uuj40k4cyrz6elrli1ssgyd";"Defender";"Nicolás Ignacio";"Peñailillo Acuña";"1";NA;"12";"2";NA;"1";NA;NA;NA;"2";NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;FALSE;"ceoxcposkvoqax3zwkrlj7p7u";"1";"1";NA;NA;NA;NA;NA
"14";NA;NA;NA;NA;"24";"1";NA;"90";"7";"6";"2019-02-18Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"27d86mint34dydvzdjpxict79";"Defender";"Bruno Sebastián";"Romo Rojas";NA;"1";NA;NA;"4";"1";NA;NA;NA;"2";NA;NA;NA;"1";NA;"2";NA;NA;NA;NA;FALSE;"ceoxcposkvoqax3zwkrlj7p7u";"1";NA;NA;NA;NA;NA;NA
"30";NA;NA;NA;NA;"38";"1";NA;"90";"3";"5";"2019-02-18Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"42oyy73s5avbjsnw4eg5wmket";"Defender";"Tomás Pablo";"Astaburuaga Montoya";"1";NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;"ceoxcposkvoqax3zwkrlj7p7u";"1";NA;NA;NA;NA;NA;NA
"34";NA;NA;NA;NA;"43";"1";NA;"90";NA;"2";"2019-02-18Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"9vt4ulv6w9gcl66wdzwu04id";"Defender";"Gonzalo Antonio";"Fierro Caniullán";"2";NA;"15";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;FALSE;"ceoxcposkvoqax3zwkrlj7p7u";"1";NA;NA;NA;NA;NA;NA
"19";NA;NA;NA;NA;"23";"1";NA;"90";NA;"4";"2019-02-18Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"1u0ljpfm8m7kwt1dfzjxstsd1";"Defensive Midfielder";"Gabriel Eduardo";"Sandoval Alarcón";"1";NA;NA;"1";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;FALSE;"ceoxcposkvoqax3zwkrlj7p7u";"1";"1";NA;NA;NA;NA;NA
"27";NA;NA;NA;NA;"31";"1";NA;"90";"1";"8";"2019-02-18Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"5bj418xljvx94aqjw74f2wcet";"Defensive Midfielder";"Cristián Manuel";"Rojas Sanhueza";"2";NA;NA;"4";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;FALSE;"ceoxcposkvoqax3zwkrlj7p7u";"1";NA;NA;NA;NA;NA;NA
"17";NA;NA;NA;NA;"22";"1";NA;"76";NA;"11";"2019-02-18Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"egg8yn20s67x5awg9qupjrv9";"Attacking Midfielder";"Felipe Ignacio";"Flores Chandia";NA;NA;NA;NA;"1";"3";NA;NA;NA;"1";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;"ceoxcposkvoqax3zwkrlj7p7u";NA;"1";"1";NA;NA;NA;NA
"28";NA;NA;NA;NA;"33";"1";NA;"90";NA;"10";"2019-02-18Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"cvgwdjc34ayove5oev1a0epk9";"Attacking Midfielder";"Marco Antonio";"Collao Ramos";"3";"1";"1";"4";"3";"1";NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;FALSE;"ceoxcposkvoqax3zwkrlj7p7u";"1";NA;NA;NA;NA;NA;NA
"23";NA;NA;NA;NA;"29";"1";NA;"82";"1";"7";"2019-02-18Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"8a06kc2fx1lr9nmjwishg6l79";"Attacking Midfielder";"Jason";"Flores Abrigo";NA;NA;NA;NA;NA;"2";NA;NA;NA;"1";"1";NA;NA;NA;"1";NA;NA;NA;NA;NA;FALSE;"ceoxcposkvoqax3zwkrlj7p7u";NA;"1";NA;NA;NA;NA;NA
"21";NA;NA;NA;NA;"36";"1";NA;"89";"1";"9";"2019-02-18Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"2ddf8xxnqz6tehsqw5cg5x0b9";"Striker";"Tobías Nahuel";"Figueroa";NA;NA;NA;NA;"1";"3";NA;NA;NA;"6";"1";"1";"4";NA;NA;"1";NA;NA;NA;NA;FALSE;"ceoxcposkvoqax3zwkrlj7p7u";NA;"1";"1";NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2019-02-18Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"3gexir2gjtsiqqvzqrp66i7kl";"Substitute";"Nicolás";"Araya Bruna";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Goalkeeper";"0";FALSE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
"1";NA;NA;NA;NA;"2";NA;NA;"8";NA;"0";"2019-02-18Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"57308iu09mtmdg9tapbvp4qmt";"Substitute";"Adrián Martín";"Balboa Camacho";NA;NA;NA;NA;"1";NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;"1";"Attacker";NA;FALSE;"ceoxcposkvoqax3zwkrlj7p7u";NA;"1";"1";NA;NA;NA;NA
"9";NA;NA;NA;NA;"10";NA;NA;"14";NA;"0";"2019-02-18Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"8davjer5vpeg0pa07h5mszzyt";"Substitute";"Eduard Alexander";"Bello Gil";NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;"1";"Midfielder";NA;FALSE;"ceoxcposkvoqax3zwkrlj7p7u";NA;"1";NA;"1";NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2019-02-18Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"c1w8b6hy98azzdz48pw8uago9";"Substitute";"Ricardo Darío";"Blanco";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Midfielder";"0";FALSE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2019-02-18Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"5potd9vqoymfuhbjtg2w6hjv9";"Substitute";"Oscar Ignacio";"Hernández Polanco";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Midfielder";"0";FALSE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2019-02-18Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"1q7x49gtgmpqcgweaynab0vyt";"Substitute";"Franz Hermann";"Schultz Ramírez";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Defender";"0";FALSE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
"1";NA;NA;NA;NA;"1";NA;NA;"1";NA;"0";"2019-02-18Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"71ywwcts8jxrjqf9fr0c1cedx";"Substitute";"Francisco Javier";"Sepulveda Riveros";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";"Attacker";NA;FALSE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
"11";"4";"5";NA;"13";"20";"1";NA;"90";"1";"1";"2019-09-29Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"276g6pfpah0p1dva0bfi18hqt";"Goalkeeper";"Joaquín Emanuel";"Muñoz Almarza";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;"24wtt0uq6z42wojuic7xaj90q";NA;NA;NA;NA;NA;NA;NA
"28";"2";NA;NA;NA;"32";"1";NA;"45";"3";"4";"2019-09-29Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"8bs8qz265kj9bhn8lx09cifvt";"Defender";"Ricardo Antonio";"Escobar Acuña";NA;NA;"2";"2";"2";"1";NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;TRUE;"24wtt0uq6z42wojuic7xaj90q";NA;NA;NA;NA;NA;NA;NA
"22";"4";NA;NA;NA;"31";"1";NA;"90";"7";"5";"2019-09-29Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"4ry41imxbur7epfo5igydybpx";"Defender";"Osvaldo Javier";"Bosso Torres";NA;NA;"4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;TRUE;"24wtt0uq6z42wojuic7xaj90q";NA;NA;NA;NA;NA;NA;NA
"19";"3";NA;NA;NA;"21";"1";NA;"62";"1";"6";"2019-09-29Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"epvt3nij5xk960wrr4omk2f2t";"Defender";"Carlos Alfredo";"Labrin Candia";"2";NA;NA;"3";NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;"24wtt0uq6z42wojuic7xaj90q";NA;NA;NA;NA;NA;NA;NA
"16";"3";NA;NA;NA;"25";"1";NA;"67";"4";"3";"2019-09-29Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"23rxggjnk33ensvafo1ebfdg5";"Wing Back";"Diego Ignacio";"Torres Quintana";"1";"2";"11";"1";"2";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;"24wtt0uq6z42wojuic7xaj90q";NA;NA;NA;NA;NA;NA;NA
"9";"2";NA;NA;NA;"12";"1";NA;"45";NA;"2";"2019-09-29Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"61i2gjx5prb951skhn9po6a51";"Wing Back";"Juan Carlos";"Espinoza Reyes";"1";"1";"5";"1";"1";NA;NA;NA;NA;NA;"1";NA;NA;"1";NA;NA;NA;NA;NA;NA;TRUE;"24wtt0uq6z42wojuic7xaj90q";NA;NA;NA;NA;NA;NA;NA
"39";"4";NA;NA;NA;"51";"1";NA;"90";NA;"11";"2019-09-29Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"3i66iyijtz2p4xd7ngsc444ph";"Midfielder";"Ariel Elías";"Martínez Arce";NA;"1";NA;"1";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;"24wtt0uq6z42wojuic7xaj90q";NA;NA;NA;NA;NA;NA;NA
"32";"4";NA;NA;NA;"33";"1";NA;"90";NA;"8";"2019-09-29Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"18pa8hde4d0jkbtpltej87tg5";"Midfielder";"Iván Patricio";"Ledezma Ahumada";NA;NA;NA;"1";NA;"1";NA;NA;NA;"3";NA;NA;"2";NA;"1";NA;NA;NA;NA;NA;TRUE;"24wtt0uq6z42wojuic7xaj90q";NA;"1";"1";NA;NA;NA;NA
"15";"2";NA;NA;NA;"18";"1";NA;"45";NA;"7";"2019-09-29Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"4yvk7o42utehkf7nki39zafo5";"Midfielder";"Iván Gonzalo";"Vásquez Quilodrán";NA;NA;NA;NA;"1";"1";NA;NA;NA;NA;"1";NA;NA;"1";NA;NA;NA;NA;NA;NA;TRUE;"24wtt0uq6z42wojuic7xaj90q";NA;NA;NA;NA;NA;NA;NA
"8";"4";NA;NA;NA;"13";"1";NA;"90";NA;"9";"2019-09-29Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"1udhwk2qkh23pl0vykuj8m7rp";"Striker";"Rodrigo Julián";"Holgado";NA;NA;NA;NA;"1";NA;NA;NA;NA;"5";NA;NA;"1";NA;NA;NA;"1";NA;NA;NA;TRUE;"24wtt0uq6z42wojuic7xaj90q";NA;"4";"1";NA;NA;NA;NA
"18";"4";NA;NA;NA;"24";"1";NA;"90";NA;"10";"2019-09-29Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"bj3lt3rad9p93r4soac60f651";"Striker";"Ignacio Alejandro";"Jeraldino Jul";"1";NA;NA;"1";"2";"1";NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;TRUE;"24wtt0uq6z42wojuic7xaj90q";NA;NA;NA;"1";NA;NA;NA
"12";"2";NA;NA;NA;"17";NA;NA;"45";NA;"0";"2019-09-29Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"b3gzwpdhc43oz9u4ihkqgug2d";"Substitute";"Joe Axel";"Abrigo Navarro";"1";NA;NA;"1";"2";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";"Attacker";NA;TRUE;"24wtt0uq6z42wojuic7xaj90q";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2019-09-29Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"9j5hkfilerc8upy6zl1gpucph";"Substitute";"Nicolás Ignacio";"Crovetto Aqueveque";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Midfielder";"0";TRUE;"24wtt0uq6z42wojuic7xaj90q";NA;NA;NA;NA;NA;NA;NA
"8";"1";NA;NA;NA;"14";NA;NA;"23";NA;"0";"2019-09-29Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"be2mkt8tl6bgnm4nyzb5l02c5";"Substitute";"Manuel Elías";"Fernández Guzmán";NA;"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;"1";"Defender";NA;TRUE;"24wtt0uq6z42wojuic7xaj90q";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2019-09-29Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"brkd7vi8zwf9oc1xhncco4mei";"Substitute";"Bryan Jesús";"Figueroa De La Hoz";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Midfielder";"0";TRUE;"24wtt0uq6z42wojuic7xaj90q";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2019-09-29Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"18nk3jxjo37tdkbqkk3g6ges5";"Substitute";"Jesús Isaac";"Hernández Córdova";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Attacker";"0";TRUE;"24wtt0uq6z42wojuic7xaj90q";NA;NA;NA;NA;NA;NA;NA
"12";"2";NA;NA;NA;"18";NA;NA;"45";NA;"0";"2019-09-29Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"8dfo8a5fvu2qpca8hgnm980d1";"Substitute";"Cristobal Osvaldo";"Marín Barrios";NA;NA;NA;"1";NA;"3";NA;NA;NA;"3";NA;NA;"3";NA;NA;NA;NA;"1";"Midfielder";NA;TRUE;"24wtt0uq6z42wojuic7xaj90q";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2019-09-29Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"5hxyo9kveiykjyewoat4q7yl1";"Substitute";"Eryin Alexis";"Sanhueza Mora";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Goalkeeper";"0";TRUE;"24wtt0uq6z42wojuic7xaj90q";NA;NA;NA;NA;NA;NA;NA
"21";"2";"3";NA;"9";"36";"1";NA;"90";NA;"1";"2019-09-29Z";"ehsvy9m92bp6ktgoy6pwv8rdm";"Colo Colo";"5a1jlrtl6pezuwkzcm40ab179";"Goalkeeper";"Brayan Josué";"Cortés Fernández";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;FALSE;"24wtt0uq6z42wojuic7xaj90q";NA;NA;NA;NA;NA;NA;NA
"31";"2";NA;NA;NA;"36";"1";NA;"90";"1";"3";"2019-09-29Z";"ehsvy9m92bp6ktgoy6pwv8rdm";"Colo Colo";"1qjttb6sdzmo310b3g8yxqhn9";"Defender";"Óscar Mauricio";"Opazo Lara";"1";NA;"9";"2";"2";"2";NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;FALSE;"24wtt0uq6z42wojuic7xaj90q";NA;NA;NA;NA;NA;NA;NA
"20";"2";NA;NA;NA;"23";"1";NA;"90";"2";"6";"2019-09-29Z";"ehsvy9m92bp6ktgoy6pwv8rdm";"Colo Colo";"7n849c9llm9q8vtnp2hmoqw2d";"Defender";"Juan Manuel";"Insaurralde";"2";"1";NA;"2";NA;NA;NA;NA;NA;"1";NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;FALSE;"24wtt0uq6z42wojuic7xaj90q";NA;NA;NA;NA;NA;NA;NA
"22";"2";NA;NA;NA;"30";"1";NA;"90";"4";"5";"2019-09-29Z";"ehsvy9m92bp6ktgoy6pwv8rdm";"Colo Colo";"atheibripyjr0rr4zn3klkzbp";"Defender";"Julio Alberto";"Barroso";"2";NA;NA;"3";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;"24wtt0uq6z42wojuic7xaj90q";NA;"1";"1";NA;NA;NA;NA
