"accuratePass" "goalsConceded" "saves" "goalKicks" "totalPass" "gameStarted" "minsPlayed" "totalClearance" "formationPlace" "fecha" "idequipo" "equipo" "idjugador" "position" "wonTackle" "lostCorners" "totalScoringAtt" "totalThrows" "totalTackle" "shotOffTarget" "fouls" "wasFouled" "ontargetScoringAtt" "goals" "totalSubOff" "wonCorners" "yellowCard" "cornerTaken" "totalSubOn" "stats[2, ]" "local" "id_partido" "blockedScoringAtt" "totalOffside" "goalAssist" "cleanSheet" "ownGoals" "redCard" "penaltyFaced" "penGoalsConceded" "penaltyConceded" "penaltyWon" "penaltySave" "secondYellow"
"5" "1" NA NA "7" NA "30" NA "0" "2017-10-25Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "42g32g8di9nd4fol12sjj4nvt" "Substitute" NA NA "2" NA NA NA "2" NA "2" NA NA NA NA NA "1" NA TRUE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-25Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "evdhe2j9k1smuk1ul7woo3h0p" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" TRUE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
"17" "1" NA NA "24" NA "19" NA "0" "2017-10-25Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "cdtqwtqf0k8ej2lwipsu00huy" "Substitute" "1" NA NA NA "1" NA NA "1" NA NA NA NA NA NA "1" NA TRUE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-25Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "ue21v40lpfq648asxkvmvfje" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" TRUE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-25Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "nl4z5xwpj7p65ieckie8dfqh" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" TRUE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
"19" "1" "9" "13" "31" "1" "90" "1" "1" "2017-10-25Z" "4p54fnh38jynbaf542rfs0146" "England U17" "48nvf3vbvt0apyfjecexa65t5" "Goalkeeper" NA "1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
"37" "1" NA NA "42" "1" "90" "2" "3" "2017-10-25Z" "4p54fnh38jynbaf542rfs0146" "England U17" "26gkn2dugfu5ae008tjjv51bd" "Defender" "1" NA NA "6" "1" NA "1" NA NA NA NA NA NA NA NA NA FALSE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
"30" "1" NA NA "32" "1" "90" "5" "6" "2017-10-25Z" "4p54fnh38jynbaf542rfs0146" "England U17" "9ipux4xiejibplsbbhqz8d5gp" "Defender" NA NA NA NA NA NA NA "1" NA NA NA NA NA NA NA NA FALSE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
"29" "1" NA NA "35" "1" "90" "4" "5" "2017-10-25Z" "4p54fnh38jynbaf542rfs0146" "England U17" "etoqaphedaubfn19ba3c4f65l" "Defender" "1" "1" "1" NA "1" "1" "1" "1" NA NA NA NA NA NA NA NA FALSE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
"32" "1" NA NA "40" "1" "70" "1" "2" "2017-10-25Z" "4p54fnh38jynbaf542rfs0146" "England U17" "56g3fffeygobuei72gnkm9a09" "Defender" "1" NA NA "6" "1" NA "1" NA NA NA "1" NA "1" NA NA NA FALSE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
